graph_seed,regime,k,rep_a,rep_b,jaccard_distance,fresh_score_gap,score_a,score_b,evaluation_set
42002,transition_mid,32,new_rep2,previous_rep0,0.4761904761904761,0.0908103411396344,0.3631923117985328,0.2723819706588983,stage4f_fresh_6501_6524
42002,transition_mid,32,new_rep3,previous_rep0,0.5454545454545454,0.0539303390930097,0.326312309751908,0.2723819706588983,stage4f_fresh_6501_6524
42002,transition_mid,64,new_rep1,new_rep2,0.419753086419753,0.0086577075223127,0.59479252807796,0.5861348205556473,stage4f_fresh_6501_6524
42002,transition_mid,64,new_rep1,new_rep3,0.3589743589743589,0.0973461934675773,0.59479252807796,0.6921387215455373,stage4f_fresh_6501_6524
42002,transition_mid,64,new_rep1,previous_rep0,0.3589743589743589,0.0243519190698862,0.59479252807796,0.6191444471478462,stage4f_fresh_6501_6524
42002,transition_mid,64,new_rep2,new_rep3,0.3376623376623376,0.1060039009898901,0.5861348205556473,0.6921387215455373,stage4f_fresh_6501_6524
42002,transition_mid,64,new_rep2,previous_rep0,0.379746835443038,0.0330096265921989,0.5861348205556473,0.6191444471478462,stage4f_fresh_6501_6524
42002,transition_mid,64,new_rep3,previous_rep0,0.3376623376623376,0.0729942743976911,0.6921387215455373,0.6191444471478462,stage4f_fresh_6501_6524
42003,sparse_drive,8,new_rep1,new_rep2,1.0,0.00913671652476,0.1093673814708987,0.1185040979956587,stage4f_fresh_6501_6524
42003,sparse_drive,8,new_rep1,new_rep3,0.9333333333333332,0.0076958251496156,0.1093673814708987,0.1170632066205143,stage4f_fresh_6501_6524
42003,sparse_drive,8,new_rep1,previous_rep0,1.0,0.0174993809002142,0.1093673814708987,0.1268667623711129,stage4f_fresh_6501_6524
42003,sparse_drive,8,new_rep2,new_rep3,0.9333333333333332,0.0014408913751444,0.1185040979956587,0.1170632066205143,stage4f_fresh_6501_6524
42003,sparse_drive,8,new_rep2,previous_rep0,1.0,0.0083626643754542,0.1185040979956587,0.1268667623711129,stage4f_fresh_6501_6524
42003,sparse_drive,8,new_rep3,previous_rep0,1.0,0.0098035557505986,0.1170632066205143,0.1268667623711129,stage4f_fresh_6501_6524
42003,sparse_drive,32,new_rep1,new_rep2,0.4761904761904761,0.1185550503432751,0.3011415190994739,0.419696569442749,stage4f_fresh_6501_6524
42003,sparse_drive,32,new_rep1,new_rep3,0.4390243902439024,0.0098496389885742,0.3011415190994739,0.2912918801108996,stage4f_fresh_6501_6524
42003,sparse_drive,32,new_rep1,previous_rep0,0.4390243902439024,0.0477490828682978,0.3011415190994739,0.2533924362311761,stage4f_fresh_6501_6524
42003,sparse_drive,32,new_rep2,new_rep3,0.5116279069767442,0.1284046893318494,0.419696569442749,0.2912918801108996,stage4f_fresh_6501_6524
42003,sparse_drive,32,new_rep2,previous_rep0,0.5454545454545454,0.1663041332115729,0.419696569442749,0.2533924362311761,stage4f_fresh_6501_6524
42003,sparse_drive,32,new_rep3,previous_rep0,0.4390243902439024,0.0378994438797235,0.2912918801108996,0.2533924362311761,stage4f_fresh_6501_6524
42003,sparse_drive,64,new_rep1,new_rep2,0.4761904761904761,0.1991344547520081,0.6523512552181879,0.4532168004661798,stage4f_fresh_6501_6524
42003,sparse_drive,64,new_rep1,new_rep3,0.419753086419753,0.1111641277869541,0.6523512552181879,0.5411871274312338,stage4f_fresh_6501_6524
42003,sparse_drive,64,new_rep1,previous_rep0,0.8468468468468469,0.1920171404878298,0.6523512552181879,0.4603341147303581,stage4f_fresh_6501_6524
42003,sparse_drive,64,new_rep2,new_rep3,0.3589743589743589,0.0879703269650539,0.4532168004661798,0.5411871274312338,stage4f_fresh_6501_6524
42003,sparse_drive,64,new_rep2,previous_rep0,0.8468468468468469,0.0071173142641783,0.4532168004661798,0.4603341147303581,stage4f_fresh_6501_6524
42003,sparse_drive,64,new_rep3,previous_rep0,0.8363636363636364,0.0808530127008756,0.5411871274312338,0.4603341147303581,stage4f_fresh_6501_6524
