specimen_id,C_temporal_AB,C_temporal_BA,long_short_gain_AB,long_short_gain_BA,long_short_gain_mean
483083617,25,10,0.03035920858383201,0.00861501693725597,0.01948711276054399
483099796,10,10,0.018570542335510365,0.0076541900634766735,0.01311236619949352
483101699,10,10,0.007264077663421631,-0.033882439136505016,-0.013309180736541693
484457747,500,10,0.022632837295532116,0.001095116138458363,0.01186397671699524
484509440,25,10,0.008706092834472767,-0.003417372703552135,0.002644360065460316
484515166,10,10,0.0012675523757935,0.0036696195602417,0.0024685859680176
484559000,25,10,0.018576443195343018,-0.0006812214851379395,0.008947610855102539
484635029,10,10,-0.00882434844970681,0.0018818974494934082,-0.0034712255001067005
484659182,10,100,-0.00439518690109264,0.020580589771270752,0.008092701435089056
484679812,50,50,-0.027791500091552623,-0.04230469465255715,-0.03504809737205489
484737013,10,10,0.0027837157249451794,0.005446016788482777,0.004114866256713978
484738748,10,100,0.004899799823760986,0.04229915142059337,0.02359947562217718
484742372,10,25,0.004616558551788219,0.01669454574584961,0.010655552148818914
484744672,10,10,-0.0102955102920532,0.0027360916137695,-0.00377970933914185
484770879,25,50,-0.005416750907897838,0.026079714298248402,0.010331481695175282
484818613,10,10,0.0017853975296020005,-0.0079484581947325,-0.0030815303325652495
485058595,10,10,-0.01044619083404541,0.011225581169128529,0.0003896951675415594
485060618,10,10,-0.02276855707168579,-0.024978697299957386,-0.02387362718582159
485061364,10,10,-0.0013346672058103248,-0.0024457573890683815,-0.0018902122974393532
485184849,10,10,-0.004946112632751465,-0.017141640186310036,-0.01104387640953075
485245025,10,10,-0.0007805228233337,-0.0003712177276610992,-0.0005758702754973997
485287282,10,25,0.005170166492462269,-1.5497207641601562e-05,0.002577334642410334
485287944,10,10,-0.013404548168182262,-0.006436169147491566,-0.009920358657836914
485339983,10,10,-0.0085290670394897,-0.013877213001251101,-0.0112031400203704
485455285,10,10,-0.0012851953506469,0.0008034706115723,-0.0002408623695373
485466109,10,10,0.011202037334442139,-0.013014256954193004,-0.0009061098098754328
