specimen_id,specimen_name,ev_glif1,ev_glif2,ev_glif3,ev_glif4,ev_glif5,model_id_glif1,model_id_glif2,model_id_glif3,model_id_glif4,model_id_glif5,ev_cost0,ev_cost1,ev_cost2,ev_cost3,ev_best,creq_eps_0p000,creq_eps_0p005,creq_eps_0p010,creq_eps_0p015,creq_eps_0p020,creq_eps_0p025,creq_eps_0p030,creq_eps_0p040,creq_eps_0p050
485574832,Rbp4-Cre_KL100;Ai14-203498.04.02.01,0.853404981791349,0.689174947023792,0.800386054882965,0.866544721290672,0.8807637970532,486052397,486052399,486052401,486052403,486052405,0.853404981791349,0.800386054882965,0.866544721290672,0.8807637970532,0.8807637970532,3,3,3,2,2,2,0,0,0
485577686,Rbp4-Cre_KL100;Ai14-203498.02.01.01,0.684569741072946,0.641109152489893,0.711227968201555,0.75911870402026,0.757144694767978,486051869,486051871,486051873,486051875,486051877,0.684569741072946,0.711227968201555,0.75911870402026,0.757144694767978,0.75911870402026,2,2,2,2,2,2,2,2,1
485578197,Rbp4-Cre_KL100;Ai14-203498.05.01.01,0.677284250717423,0.593515089304775,0.712977982123066,0.777865024633393,0.761067691544874,486051897,486051899,486051901,486051903,486051905,0.677284250717423,0.712977982123066,0.777865024633393,0.761067691544874,0.777865024633393,2,2,2,2,2,2,2,2,2
485579168,Rbp4-Cre_KL100;Ai14-203498.03.02.01,0.681164799338152,0.711068867427504,0.597770528786288,0.696882169452465,0.731308283923743,486051925,486051927,486051929,486051931,486051933,0.681164799338152,0.711068867427504,0.696882169452465,0.731308283923743,0.731308283923743,3,3,3,3,3,1,1,1,1
485608017,Rbp4-Cre_KL100;Ai14-203503.04.02.01,0.733185920793432,0.693295078228022,0.80414227959014,0.812550390670639,0.838022512940441,486052023,486052025,486052027,486052029,486052031,0.733185920793432,0.80414227959014,0.812550390670639,0.838022512940441,0.838022512940441,3,3,3,3,3,3,2,1,1
485835016,Rbp4-Cre_KL100;Ai14-204744.03.02.01,0.636600504726765,0.547534079913768,0.645164405499628,0.686231392169747,0.710283660326575,486508719,486508721,486508723,486508725,486508727,0.636600504726765,0.645164405499628,0.686231392169747,0.710283660326575,0.710283660326575,3,3,3,3,3,2,2,2,2
485837504,Rorb-IRES2-Cre-D;Ai14-204764.03.02.01,0.620244385683473,0.656796781053128,0.547923035149266,0.70630370301871,0.6797553062922,486508687,486508689,486508691,486508693,486508695,0.620244385683473,0.656796781053128,0.70630370301871,0.6797553062922,0.70630370301871,2,2,2,2,2,2,2,2,1
485838981,Rbp4-Cre_KL100;Ai14-204744.04.02.01,0.836604559588856,0.683767826519944,0.756986100608588,0.84509357278396,0.855827854450398,486508774,486508776,486508778,486508780,486508782,0.836604559588856,0.756986100608588,0.84509357278396,0.855827854450398,0.855827854450398,3,3,3,2,0,0,0,0,0
485880739,Rbp4-Cre_KL100;Ai14-204745.05.01.01,0.663878546139766,0.583704562182994,0.543825874851786,0.699638162532415,0.629003039076527,486508995,486508997,486508999,486509001,486509003,0.663878546139766,0.583704562182994,0.699638162532415,0.629003039076527,0.699638162532415,2,2,2,2,2,2,2,0,0
485884503,Rorb-IRES2-Cre-D;Ai14-204765.03.01.01,0.726828697810191,0.699953983428546,0.675912431884086,0.711592184659737,0.717331135384231,486509273,486509275,486509277,486509279,486509281,0.726828697810191,0.699953983428546,0.711592184659737,0.717331135384231,0.726828697810191,0,0,0,0,0,0,0,0,0
485905411,Ntsr1-Cre;Ai14-204779.03.01.01,0.611614366145254,0.545213670759091,0.772040657972598,0.775716720981523,0.778242368683273,566406130,566406132,566406134,566406136,566406138,0.611614366145254,0.772040657972598,0.775716720981523,0.778242368683273,0.778242368683273,3,2,1,1,1,1,1,1,1
485931158,Rorb-IRES2-Cre-D;Ai14-204766.03.02.01,0.675838414502322,0.682875288567054,0.672580479905342,0.743199404583953,0.763813477614702,486509943,486509945,486509947,486509949,486509951,0.675838414502322,0.682875288567054,0.743199404583953,0.763813477614702,0.763813477614702,3,3,3,3,3,2,2,2,2
485938494,Ntsr1-Cre;Ai14-204781.04.01.01,0.796044059740521,0.524316454783196,0.898359656675424,0.879704868046381,0.925456254132713,566408289,566408291,566408293,566408295,566408297,0.796044059740521,0.898359656675424,0.879704868046381,0.925456254132713,0.925456254132713,3,3,3,3,3,3,1,1,1
485955227,Cux2-CreERT2;Ai14-205049.02.01.01,0.673803291409416,0.668664401993056,0.576039699034693,0.682093333465033,0.671972222062592,486512828,486512830,486512832,486512834,486512836,0.673803291409416,0.668664401993056,0.682093333465033,0.671972222062592,0.682093333465033,2,2,0,0,0,0,0,0,0
485958978,Cux2-CreERT2;Ai14-205053.03.02.01,0.71902293426404,0.611904041405905,0.758394295146226,0.778504633333199,0.756840163497825,486512799,486512801,486512803,486512805,486512807,0.71902293426404,0.758394295146226,0.778504633333199,0.756840163497825,0.778504633333199,2,2,2,2,2,1,1,1,1
486029942,Cux2-CreERT2;Ai14-205215.05.01.01,0.653851102180086,0.680860285721081,0.638682227906879,0.659003493840287,0.723402253490098,486554023,486554025,486554027,486554029,486554031,0.653851102180086,0.680860285721081,0.659003493840287,0.723402253490098,0.723402253490098,3,3,3,3,3,3,3,3,1
486052980,Rbp4-Cre_KL100;Ai14-205726.03.02.01,0.781873483548445,0.742674505108907,0.618614694011725,0.718273308078909,0.706637826031345,486556582,486556584,486556586,486556588,486556590,0.781873483548445,0.742674505108907,0.718273308078909,0.706637826031345,0.781873483548445,0,0,0,0,0,0,0,0,0
486108147,Cux2-CreERT2;Ai14-205216.06.01.01,0.693649727203897,0.690414224953216,0.603711473880207,0.692606705414468,0.689680001679338,486556528,486556530,486556532,486556534,486556536,0.693649727203897,0.690414224953216,0.692606705414468,0.689680001679338,0.693649727203897,0,0,0,0,0,0,0,0,0
486111903,Rbp4-Cre_KL100;Ai14-205727.03.02.01,0.773196164598971,0.647682894336,0.843658772800912,0.84436834718079,0.857468213864292,486556796,486556798,486556800,486556802,486556804,0.773196164598971,0.843658772800912,0.84436834718079,0.857468213864292,0.857468213864292,3,3,3,1,1,1,1,1,1
