subject,top_fraction,topset_auc_crossover
625545,0.2,-0.0284789325956303
625545,0.4,-0.0398580508303202
625545,0.05,0.0340909631024266
625545,0.1,0.0074684851259052
625545,0.2,0.0238560511715113
625545,0.4,-0.066562097412658
625545,0.05,0.012783342004856
625545,0.1,-0.0489312348248354
625545,0.2,-0.0250899670482135
625545,0.4,0.0127462712452306
625545,0.05,-0.0027207923661454
625545,0.1,0.0606815533649565
625545,0.2,0.0169090858723401
625545,0.4,-0.0208260775062967
625545,0.05,0.0166454745269595
625545,0.1,-0.0373409262248082
625545,0.2,-0.0203173777315295
625545,0.4,0.0042286945995881
625545,0.05,-0.0238675845944529
625545,0.1,0.0544444351239612
625545,0.2,-0.0033543591783341
625545,0.4,0.0152154289880541
625545,0.05,0.0319998686400802
625545,0.1,0.0459294979466937
625545,0.2,0.0546237749610765
625545,0.4,-0.0069904069573383
625545,0.05,-0.0061351016799292
625545,0.1,0.0475776834659593
625545,0.2,0.0112408370173887
625545,0.4,-0.0496116239316239
625554,0.05,0.0592115395504218
625554,0.1,0.0571598437234583
625554,0.2,0.0492064435762413
625554,0.4,0.0137186456033068
625554,0.05,0.0216805835573478
625554,0.1,-0.0063892669130823
625554,0.2,-0.0082804659498206
625554,0.4,0.0241499495967741
625554,0.05,-0.0068866627464158
625554,0.1,-0.0388229340470893
625554,0.2,-0.0330731614409528
625554,0.4,0.0197287244314671
625554,0.05,0.0353915581587664
625554,0.1,0.0394543626036117
625554,0.2,-0.0355780144248457
625554,0.4,-0.0363116587827029
625554,0.05,-0.0370689655172412
625554,0.1,0.0202352641413282
625554,0.2,0.0031127908951926
625554,0.4,0.0362833361644301
625554,0.05,0.0607331821617536
625554,0.1,0.0030045351473922
625554,0.2,-0.0143801965230538
625554,0.4,0.0035950491307635
625554,0.05,0.0075242184665557
625554,0.1,0.0297574525259047
625554,0.2,-0.0549903158029032
625554,0.4,0.0061537989243324
625554,0.05,0.0225700349584276
625554,0.1,-0.002760800500756
625554,0.2,0.0103785785147392
625554,0.4,0.0047502421107332
625554,0.05,0.0138907709095316
625554,0.1,-0.0310272871663632
625554,0.2,0.0119317128884663
625554,0.4,0.0305290616340072
625554,0.05,0.0223211932015262
625554,0.1,0.0287826338305006
625554,0.2,0.0278567464446757
625554,0.4,-0.0197425135853854
625554,0.05,0.0296640694205129
625554,0.1,0.0193999846341349
625554,0.2,-0.0048068184897125
625554,0.4,-0.0456494851519854
625554,0.05,-0.0078730543582373
625554,0.1,0.0379203334530651
625554,0.2,0.0437873862547892
625554,0.4,0.0211871408045978
625555,0.05,0.0233356723484847
625555,0.1,0.0399124668560606
625555,0.2,-0.0319570549242425
625555,0.4,0.0195364299242424
625555,0.05,0.0008348782597947
625555,0.1,-0.0180525274996909
625555,0.2,-0.0168015078482264
625555,0.4,-0.0019898652824127
625555,0.05,-0.0531314950078327
625555,0.1,0.0357744370835927
625555,0.2,0.0519235415133154
625555,0.4,0.0197247230243662
625555,0.05,0.0357640375214691
625555,0.1,0.0086520015854141
625555,0.2,-0.0001996300700226
625555,0.4,0.0393049279957721
625555,0.05,0.0239474206349206
625555,0.1,0.0343216612776797
625555,0.2,-0.0073663898687046
625555,0.4,0.0057895723104056
625555,0.05,0.0309257326923371
625555,0.1,-0.0158076815744133
625555,0.2,0.0556676422716
625555,0.4,-0.0528250020446811
625555,0.05,-0.0440521567173401
625555,0.1,-0.0022757384748486
625555,0.2,-0.018819181806946
625555,0.4,-0.0176114200964033
625555,0.05,0.0129164503769619
625555,0.1,-0.0728249907304412
625555,0.2,-0.0210903472994686
625555,0.4,0.0382850080336176
625555,0.05,0.0201165352036811
625555,0.1,-0.0007696963162808
625555,0.2,0.0130254227524508
625555,0.4,-0.0062857556481803
625555,0.05,-0.0278839045698924
625555,0.1,0.0469594674059139
625555,0.2,0.01553515625
625555,0.4,-0.0135954161066308
625555,0.05,0.0737142071136781
625555,0.1,0.0454260906641857
625555,0.2,0.0648654072265183
625555,0.4,-0.0003584941415628
625555,0.05,-0.0001806392896919
625555,0.1,-0.0124459976828197
625555,0.2,0.0207048246295764
625555,0.4,0.0562263082459798
630506,0.05,0.0361150793650794
630506,0.1,0.015948666823051
630506,0.2,-0.0107226001511715
630506,0.4,0.0043893971381657
630506,0.05,0.0345590617799538
630506,0.1,0.0057490536537194
630506,0.2,-0.0045769214944041
630506,0.4,-0.0406438369198486
630506,0.05,0.0188081429152858
630506,0.1,0.0071994388131954
630506,0.2,-0.0056701455510979
630506,0.4,-0.0118067668662906
630506,0.05,-0.0078522345430107
630506,0.1,0.0444519769265232
630506,0.2,0.060357204861111
630506,0.4,0.0233085377464157
630506,0.05,0.0056397469808375
630506,0.1,-0.0003279218940845
630506,0.2,-0.0372420870845365
630506,0.4,0.017506218301827
630506,0.05,0.0015576537128261
630506,0.1,0.061038946229833
630506,0.2,0.0623348189850652
630506,0.4,0.0263610329189147
630506,0.05,0.0446512723481287
630506,0.1,0.0330210210073265
630506,0.2,0.0675651725710859
630506,0.4,0.0032114553957068
630506,0.05,-0.0274873818462111
630506,0.1,-0.0009660664677293
630506,0.2,-0.0430964721524724
630506,0.4,-0.0305224788395128
630506,0.05,0.015961670537392
630506,0.1,0.0077242802852872
630506,0.2,-0.0285310276311924
630506,0.4,0.0381980879216988
630506,0.05,0.0546577237185748
630506,0.1,0.0737254258588839
630506,0.2,0.014957928353788
630506,0.4,0.0649163079136232
630506,0.05,0.0079447534297365
630506,0.1,-0.0188971019173035
630506,0.2,0.0872345656862861
630506,0.4,0.0085479286024694
630506,0.05,0.0427958803578306
630506,0.1,0.0235067907817176
630506,0.2,-0.0209980819929501
630506,0.4,-0.0019637689208802
631510,0.05,0.1276187508309496
631510,0.1,0.0770911288669232
631510,0.2,0.1055289822699572
631510,0.4,0.0145387605093039
631510,0.05,0.0743260451815082
631510,0.1,0.0285710336159537
631510,0.2,0.0369311994553109
631510,0.4,-0.0066716286589013
631510,0.05,0.0592375478927202
631510,0.1,0.0485747126436781
631510,0.2,0.0428735632183907
631510,0.4,0.0752337164750958
631510,0.05,0.0643825118704263
631510,0.1,0.030179855659433
631510,0.2,0.0212442738048248
