graph_seed,graph_id,coupling,noise_sigma,A_mid,A_pool,A_shared,A_sparse,shared_random,spectral,shared_minus_random,shared_minus_frozen_mid,shared_minus_frozen_sparse,tested_specialists_max
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.03875,1.2,0.30767662636935705,0.38217647932469845,0.2741662959257761,0.3371704189727703,0.1374012674205005,0.3631266113370657,0.13676502850527564,-0.03351033044358093,-0.06300412304699415,0.3371704189727703
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.0425,0.8,0.2721321458617846,0.35834820941090584,0.38538335512081784,0.33242849198480445,0.13192385652412966,0.36673353301982087,0.25345949859668815,0.11325120925903326,0.052954863136013386,0.33242849198480445
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.0425,1.0,0.3054376306633154,0.37171106102565926,0.3208688429246346,0.29452857437233126,0.12419303599745031,0.37119569815695286,0.19667580692718428,0.01543121226131916,0.026340268552303314,0.3054376306633154
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.0425,1.2,0.2735594275097052,0.33310151224335033,0.3543864681075017,0.2764598385741313,0.12091546567777789,0.3636607068280379,0.2334710024297238,0.0808270405977965,0.07792662953337037,0.2764598385741313
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.04625,0.8,0.29261856588224566,0.2786433355261882,0.3725706562399864,0.2718204520642757,0.22562338349719838,0.33297964620093506,0.14694727274278804,0.07995209035774076,0.10075020417571073,0.29261856588224566
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.04625,1.0,0.2885935883969068,0.28071061397592223,0.3415759901205699,0.29713790553311503,0.21944285960247115,0.3129126963516076,0.12213313051809874,0.052982401723663086,0.04443808458745485,0.29713790553311503
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.04625,1.2,0.28160796190301574,0.28233124998708564,0.31132990059753257,0.25572699370483554,0.19868601299822328,0.32642956761022407,0.1126438875993093,0.029721938694516836,0.055602906892697035,0.28160796190301574
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.05,0.8,0.3049255640556415,0.3224048484116792,0.33306698314845556,0.29356212044755614,0.20639583972903586,0.28618057227383054,0.1266711434194197,0.02814141909281409,0.039504862700899424,0.3049255640556415
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.05,1.0,0.294163833061854,0.29678358634312946,0.2518480395277341,0.25888864106188214,0.1807393993561466,0.30556337752689916,0.0711086401715875,-0.042315793534119905,-0.007040601534148039,0.294163833061854
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.05,1.2,0.2537685663749774,0.29996816441416735,0.29040164810915786,0.28328440462549526,0.18971676255265868,0.2893497887998819,0.10068488555649918,0.03663308173418045,0.007117243483662605,0.28328440462549526
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.035,0.8,0.38182290146748227,0.3782337826366226,0.3843595174451669,0.314629690721631,0.2731065051630139,0.34798859370251495,0.11125301228215301,0.0025366159776846198,0.06972982672353589,0.38182290146748227
