phase,topology,N,regime,k,baseline,n_tasks,mean_gain,bootstrap95_low,bootstrap95_high,median_gain,positive_fraction,wilcoxon_greater_p,wilcoxon_greater_fdr_bh
stage4e_topology,modular,256,transition_dense,8,spectral,3,0.14584704115986827,0.1305277012288571,0.1644881814718247,0.142525240778923,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,transition_dense,32,spectral,3,0.11583113918701808,0.06792118400335309,0.1435760408639908,0.13599619269371033,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,transition_dense,64,spectral,3,0.2935754557450612,0.1492775380611419,0.38039770722389227,0.3510511219501496,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,transition_mid,8,spectral,3,0.18621623516082764,0.017174921929836315,0.3278126046061516,0.213661178946495,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,transition_mid,32,spectral,3,0.043779231607913964,0.009871073067188194,0.0628418698906899,0.058624751865863786,1.0,0.125,0.36818181818181817
stage4e_topology,modular,256,transition_mid,64,spectral,3,0.03386173645655314,-0.036604464054107666,0.07756206393241882,0.06062760949134827,0.6666666666666666,0.25,0.36818181818181817
stage4e_topology,small_world,256,sparse_drive,8,spectral,3,0.273507500688235,0.197844997048378,0.3430694937705993,0.2796080112457276,1.0,0.125,0.36818181818181817
stage4e_topology,small_world,256,sparse_drive,32,spectral,3,0.20232410977284113,0.16851094365119942,0.2440885230898857,0.19437286257743838,1.0,0.125,0.36818181818181817
stage4e_topology,small_world,256,sparse_drive,64,spectral,3,0.03094411889712012,-0.0042332410812378485,0.08392453193664551,0.013141065835952703,0.6666666666666666,0.25,0.36818181818181817
stage4e_topology,small_world,256,transition_dense,8,spectral,3,0.19797476629416155,0.1537945866584778,0.23391288518905648,0.2062168270349503,1.0,0.125,0.36818181818181817
stage4e_topology,small_world,256,transition_dense,32,spectral,3,0.1148558383186658,0.0929345861077308,0.130740538239479,0.1208923906087876,1.0,0.125,0.36818181818181817
stage4e_topology,small_world,256,transition_dense,64,spectral,3,0.2221398651599885,-0.03752166032791132,0.4210666418075563,0.28287461400032043,0.6666666666666666,0.25,0.36818181818181817
stage4e_topology,small_world,256,transition_mid,8,spectral,3,0.21453971664110816,0.1339608132839203,0.2745185196399688,0.2351398169994354,1.0,0.125,0.36818181818181817
stage4e_topology,small_world,256,transition_mid,32,spectral,3,0.0774574900666873,0.00284689664840701,0.12376314401626588,0.10576242953538899,1.0,0.125,0.36818181818181817
stage4e_topology,small_world,256,transition_mid,64,spectral,3,0.10305357972780865,0.060332208871841486,0.1417447626590729,0.10708376765251157,1.0,0.125,0.36818181818181817
