session_id,state,confound,rho,p,n
sub-Muller_ses-20170108T120000,movement,mean_activity,0.817555906224671,0.0,1438
sub-Muller_ses-20170108T120000,movement,pca_loading_norm,0.6840080072230392,5.893975383001401e-199,1438
sub-Muller_ses-20170108T120000,outcome,mean_activity,0.8535036387142575,0.0,1438
sub-Muller_ses-20170108T120000,outcome,pca_loading_norm,0.6468612815270608,3.1372477608746815e-171,1438
sub-Muller_ses-20170108T120000,visual,mean_activity,0.8362106715279405,0.0,1438
sub-Muller_ses-20170108T120000,visual,pca_loading_norm,0.5817869225560289,5.124699464246234e-131,1438
sub-Muller_ses-20170109T120000,baseline,mean_activity,0.7844559073317223,6.222078427104517e-292,1398
sub-Muller_ses-20170109T120000,baseline,pca_loading_norm,0.5694715725057198,5.527042190273438e-121,1398
sub-Muller_ses-20170109T120000,decision,mean_activity,0.8410823460060938,0.0,1398
sub-Muller_ses-20170109T120000,decision,pca_loading_norm,0.5201810170021548,9.276792748138939e-98,1398
sub-Muller_ses-20170109T120000,movement,mean_activity,0.84712938645004,0.0,1398
sub-Muller_ses-20170109T120000,movement,pca_loading_norm,0.5814716586279763,2.972435348579663e-127,1398
sub-Muller_ses-20170109T120000,outcome,mean_activity,0.829287983449045,0.0,1398
sub-Muller_ses-20170109T120000,outcome,pca_loading_norm,0.5664740554994481,1.855741911945806e-119,1398
sub-Muller_ses-20170109T120000,visual,mean_activity,0.8165437440753003,0.0,1398
sub-Muller_ses-20170109T120000,visual,pca_loading_norm,0.5220107624997637,1.4870721071381377e-98,1398
sub-Radnitz_ses-20170108T120000,baseline,mean_activity,0.8929166896185893,0.0,1260
sub-Radnitz_ses-20170108T120000,baseline,pca_loading_norm,0.7602645612291622,6.178783186645815e-238,1260
sub-Radnitz_ses-20170108T120000,decision,mean_activity,0.895646159113027,0.0,1260
sub-Radnitz_ses-20170108T120000,decision,pca_loading_norm,0.7632384500116212,6.92602861850713e-241,1260
sub-Radnitz_ses-20170108T120000,movement,mean_activity,0.8951617291062876,0.0,1260
sub-Radnitz_ses-20170108T120000,movement,pca_loading_norm,0.7647191285768785,2.265683474877609e-242,1260
sub-Radnitz_ses-20170108T120000,outcome,mean_activity,0.8995718894331801,0.0,1260
sub-Radnitz_ses-20170108T120000,outcome,pca_loading_norm,0.7616861448670361,2.431890200540388e-239,1260
sub-Radnitz_ses-20170108T120000,visual,mean_activity,0.8755392776706852,0.0,1260
sub-Radnitz_ses-20170108T120000,visual,pca_loading_norm,0.786321260985329,2.2836735920921532e-265,1260
sub-Radnitz_ses-20170109T120000,baseline,mean_activity,0.83881034895617,8.42406433730882e-308,1159
sub-Radnitz_ses-20170109T120000,baseline,pca_loading_norm,0.6898880486171951,1.5497400829686154e-164,1159
sub-Radnitz_ses-20170109T120000,decision,mean_activity,0.8755981591034008,0.0,1159
sub-Radnitz_ses-20170109T120000,decision,pca_loading_norm,0.7670558753356562,2.982105047951234e-225,1159
sub-Radnitz_ses-20170109T120000,movement,mean_activity,0.8739361133620245,0.0,1159
sub-Radnitz_ses-20170109T120000,movement,pca_loading_norm,0.7581946093702672,3.948370652304087e-217,1159
sub-Radnitz_ses-20170109T120000,outcome,mean_activity,0.8674166164225782,0.0,1159
sub-Radnitz_ses-20170109T120000,outcome,pca_loading_norm,0.7877318414292879,1.0799001794586277e-245,1159
sub-Radnitz_ses-20170109T120000,visual,mean_activity,0.8249468026547556,5.763634632862305e-289,1159
sub-Radnitz_ses-20170109T120000,visual,pca_loading_norm,0.726453774771182,1.0593836732101509e-190,1159
sub-Radnitz_ses-20170110T120000,baseline,mean_activity,0.8583907379113281,0.0,1239
sub-Radnitz_ses-20170110T120000,baseline,pca_loading_norm,0.7823700637105826,1.2111484502299047e-256,1239
sub-Radnitz_ses-20170110T120000,decision,mean_activity,0.8687039872546516,0.0,1239
sub-Radnitz_ses-20170110T120000,decision,pca_loading_norm,0.7747390271136219,1.5567912051259653e-248,1239
sub-Radnitz_ses-20170110T120000,movement,mean_activity,0.8538698526775452,0.0,1239
sub-Radnitz_ses-20170110T120000,movement,pca_loading_norm,0.7947571355007288,1.5687252696644417e-270,1239
sub-Radnitz_ses-20170110T120000,outcome,mean_activity,0.8665057637040562,0.0,1239
sub-Radnitz_ses-20170110T120000,outcome,pca_loading_norm,0.7884495467982121,2.4213041560011874e-263,1239
sub-Radnitz_ses-20170110T120000,visual,mean_activity,0.865161692902312,0.0,1239
sub-Radnitz_ses-20170110T120000,visual,pca_loading_norm,0.7714724764755634,3.6847787445418385e-245,1239
sub-Radnitz_ses-20170111T120000,baseline,mean_activity,0.8791613558127815,1.7957754219221776e-277,857
sub-Radnitz_ses-20170111T120000,baseline,pca_loading_norm,0.7121356952516508,1.6716293497051034e-133,857
sub-Radnitz_ses-20170111T120000,decision,mean_activity,0.8938440281025344,4.368519604941285e-300,857
sub-Radnitz_ses-20170111T120000,decision,pca_loading_norm,0.6899214075055689,4.1076547088699473e-122,857
sub-Radnitz_ses-20170111T120000,movement,mean_activity,0.8914901724532384,3.036404538817257e-296,857
sub-Radnitz_ses-20170111T120000,movement,pca_loading_norm,0.7230109310966246,1.7463536308846767e-139,857
sub-Radnitz_ses-20170111T120000,outcome,mean_activity,0.894085935404414,1.739263971810277e-300,857
sub-Radnitz_ses-20170111T120000,outcome,pca_loading_norm,0.7120487583387942,1.861348058784066e-133,857
sub-Radnitz_ses-20170111T120000,visual,mean_activity,0.8695982441654391,2.8340857512768257e-264,857
sub-Radnitz_ses-20170111T120000,visual,pca_loading_norm,0.6918755243382557,4.499825489865423e-123,857
