axon_length_zmean,bbox_volume_zmean,branch_points_zmean,dendrite_length_zmean,endpoints_zmean,max_euclidean_radius_zmean,max_path_length_zmean,n,node_type_entropy_zmean,path_tortuosity_proxy_zmean,projection_subtype,radius_gyration_zmean,spatial_entropy_4_zmean,spatial_entropy_6_zmean
0.0,-1.77346737929818,-0.16574018522571,0.0,-0.136808377245953,-1.3866160856748972,-0.7925165557454926,153,0.8046898916065542,2.0783191538289287,48,-2.0509596771954715,-0.6269937053968752,-0.6103851270018793
0.6603989673286652,-1.0782643446735936,0.096445504720981,0.0,0.1122187741682676,-0.4509489015794808,-0.6146710253917074,116,0.5702051310612672,-0.1229786504903273,49,-1.2116020299625223,-0.9055481510908228,-0.8001560236124838
0.2825859878072255,-1.2900245886504045,-0.2091025158005822,0.0,-0.1910807134143094,-0.4721758478996719,-0.5404422129252219,231,0.7447578724559925,0.0935079344344976,50,-1.3661083038583488,-0.6697347073886651,-0.5301854946261919
0.0956315979312141,-1.489753227053421,-0.2531838085709503,0.0,-0.2295147345903118,-0.7003588136475744,-0.4986366303996741,128,0.5325450222951497,0.7758823433629257,51,-1.719598423551473,-0.3317908807238025,-0.3170373694515629
0.937703915085934,-1.416527471900453,0.0919468370668233,0.0,0.1077175092348122,-0.7219956011790042,-0.6667314048722293,133,1.0223627535141533,0.4428947680276157,52,-1.6044083222696313,-0.4081154546594852,-0.4879386305122487
0.0,0.1808178718328335,0.9715792237276768,0.0,0.9994601819561484,0.1813825846058802,0.6154361738849664,168,-0.082096544353633,1.1891385384322295,53,0.1047970313312623,0.7787467237994451,0.7089134925817175
0.0,0.1687623113882902,0.2555259912015058,0.0,0.2711970456437212,0.4822518331346993,0.6492286885516964,91,0.1370622046270236,0.4381425323374506,54,0.2157580578706314,0.9613679103935496,0.8837039865052949
0.0989043081986792,0.3336075790964559,0.4621091099169153,0.0,0.4755947063146997,0.6998230545366695,1.034133716902625,143,-0.247266589338575,0.8349473214675398,55,0.3093585271913914,1.0301867330995462,1.0786855252634606
0.0,0.8754198823618322,0.5467629991224876,0.0,0.5652016389392848,1.6816847984871532,1.355997852938342,121,-0.3660844110313773,-0.8127050111061811,56,0.8797469496529636,0.534456690995196,0.6261747690541087
0.0,0.5415777325246045,0.7450083487719339,0.0,0.7579259744192247,1.1959227182068652,1.1080221257426497,240,-0.3117310070041659,-0.2403240061884106,57,0.4843372196117092,1.182354106801469,1.3601023134518442
