variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
matched,93007,0,0.027631013654172434,0.020528266672044992,0.024079640163108713,0.10920609347522259,0.0448926854878664,0.07704938948154451
matched,93008,0,0.08186053019016981,0.04531669523566963,0.06358861271291971,0.28291869722306734,0.1428493466228247,0.21288402192294598
matched,93009,0,0.0730349812656641,0.03606469603255394,0.05454983864910901,0.213499203324318,0.1452055890113116,0.17935239616781476
matched,93010,0,0.06156138284131887,0.028813578188419342,0.0451874805148691,0.17644801363348958,0.13657259009778505,0.15651030186563733
matched,93011,0,0.08395752892829478,0.05752147175371646,0.07073950034100562,0.2578341187909246,0.2056639883667231,0.2317490535788238
matched,93012,0,0.02878453629091382,0.031986172078177326,0.030385354184545573,0.11569156870245936,0.1066000647842884,0.11114581674337388
primary,93001,0,0.07655933313071733,0.06039918772876268,0.06847926042974001,0.09244229272007942,0.07681350223720074,0.08462789747864008
primary,93001,1,0.056894503533840124,0.08241889812052244,0.06965670082718128,0.062073346227407455,0.08267206698656082,0.07237270660698414
primary,93001,2,-0.11646303720772266,0.08407085016369822,-0.01619609352201222,-0.1458621881902218,0.06720729731023312,-0.039327445439994335
primary,93001,3,0.09138773754239082,0.25414818897843366,0.17276796326041224,0.11401568353176117,0.34212363697588444,0.2280696602538228
primary,93001,4,0.1396607663482428,0.149375818669796,0.14451829250901937,0.20850360766053205,0.16073431447148323,0.18461896106600761
primary,93001,5,0.12455681152641773,0.07130289450287819,0.09792985301464796,0.1821604184806347,0.08539294265210634,0.13377668056637051
primary,93001,6,0.1199611015617848,0.12390129081904891,0.12193119619041685,0.16711132787168026,0.15616469830274582,0.16163801308721304
primary,93001,7,-0.026733707636594772,-0.051592269912362154,-0.03916298877447846,-0.024979114532470703,-0.08227085880935192,-0.05362498667091131
primary,93001,8,0.06504928693175316,0.05949375033378601,0.062271518632769585,0.08620444685220718,0.0506104938685894,0.06840747036039829
primary,93001,9,-0.17559481505304575,0.1221116641536355,-0.026741575449705124,-0.2129815984517336,0.13120778277516365,-0.04088690783828497
primary,93001,10,0.10769493691623216,0.14143286924809215,0.12456390308216216,0.1729301754385233,0.17449777573347092,0.1737139755859971
primary,93001,11,0.12300103716552258,0.1074353009462356,0.11521816905587912,0.16077949106693268,0.11744502931833273,0.1391122601926327
primary,93001,12,0.0040040332823991776,0.13167137838900092,0.06783770583570005,0.020035039633512497,0.16131719760596752,0.09067611861974001
primary,93001,13,0.07587623596191406,0.250922666862607,0.16339945141226053,0.10816770046949387,0.32126869261264807,0.21471819654107097
primary,93001,14,0.2034199647605419,0.185132896527648,0.19427643064409494,0.29580775834620004,0.22699694894254208,0.26140235364437103
primary,93001,15,0.05479530803859234,-0.018890630453824997,0.01795233879238367,0.06139010563492775,-0.008421704173088074,0.026484200730919838
primary,93001,16,0.1371952723711729,0.07684054039418697,0.10701790638267994,0.17781220003962517,0.0973513089120388,0.13758175447583199
primary,93001,17,0.13096545636653903,0.07829816080629826,0.10463180858641863,0.17701404541730886,0.08160251565277576,0.12930828053504229
