graph_seed,graph_id,coupling,noise_sigma,method_label,rhythm_score,mean_rate_hz,dominant_frequency_hz,silent_fraction,synchrony_proxy,spectral_concentration,spectral_entropy,n_noise
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.0,shared_random,0.15587950094292558,21.029865344365437,69.89583333333333,0.0,0.6415658071637154,0.5014061344166597,0.4543568876882394,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.0,spectral,0.3512398886183898,21.428873538970947,69.5,0.0,0.9610328152775764,0.664017166942358,0.3002943359315395,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.2,A_mid,0.30831517434368527,21.379555384318035,70.0,0.0,0.824814535677433,0.6412772958477339,0.3106445055454969,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.2,A_pool,0.26786735219260055,21.405028343200684,69.66666666666667,0.0,0.8641860336065292,0.5654598797361056,0.34639319280783337,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.2,A_shared,0.2195869743203123,21.380451202392578,69.8125,0.0,0.8556594575444857,0.4905901849269867,0.3756581811855237,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.2,A_sparse,0.3942676621178786,21.49723259607951,69.5,0.0,0.957528273264567,0.7181165652970473,0.2693159114569425,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.2,shared_random,0.1461821595827738,21.0325509707133,69.9375,0.0,0.6307414844632149,0.48216763511300087,0.46074048802256584,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.2,spectral,0.3614337720597784,21.43310483296712,69.5,0.0,0.949093001584212,0.6755631603300571,0.29149773096044856,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,0.8,A_mid,0.21988673135638234,21.702878952026367,70.02083333333333,0.0,0.8508370742201805,0.49229071537653607,0.37741980763773125,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,0.8,A_pool,0.326250626395146,21.721190611521404,69.64583333333333,0.0,0.912866897881031,0.6328474146624407,0.3091302451988061,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,0.8,A_shared,0.3473375079532464,21.633137226104736,69.52083333333333,0.0,0.9444009015957514,0.6713829872508844,0.30768188523749507,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,0.8,A_sparse,0.40607950650155544,21.79394467671712,69.5,0.0,0.9647087678313255,0.7247986185053984,0.26215619966387743,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,0.8,shared_random,0.21747343738873795,21.361246585845947,70.0,0.0,0.6271974419554075,0.6357474960386753,0.3892476136485736,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,0.8,spectral,0.28597146831452847,21.69108025232951,69.29166666666667,0.0,1.0206860154867172,0.5705614735682806,0.3617783735195796,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.0,A_mid,0.25417168065905565,21.69441556930542,69.91666666666667,0.0,0.8542618080973625,0.559125903993845,0.35499806329607964,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.0,A_pool,0.3026677314192056,21.73111899693807,69.60416666666667,0.0,0.906389611462752,0.6107152899106344,0.3295922515292962,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.0,A_shared,0.31518582316736377,21.64151938756307,69.52083333333333,0.0,0.9268277212977409,0.6346432218949,0.3297186630467574,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.0,A_sparse,0.3601537346839905,21.810138702392578,69.54166666666667,0.0,0.9530997574329376,0.669702493896087,0.2952029928565025,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.0,shared_random,0.21162536988655722,21.369791666666668,69.95833333333333,0.0,0.6329127997159958,0.6155835750202338,0.39382345601916313,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.0,spectral,0.26299325283616776,21.69718376795451,69.35416666666667,0.0,1.0139181738098462,0.531530729184548,0.3671453570326169,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.2,A_mid,0.242590754913787,21.701251824696858,69.89583333333333,0.0,0.8457301730910937,0.5350865311920643,0.35804185333351296,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.05,1.2,A_pool,0.29588379090030986,21.75561459859212,69.72916666666667,0.0,0.8863500952720642,0.5993920154869556,0.32696327008306975,24
