session_id,state,target,rho,p,n,full_logloss
sub-Hench_ses-20170618T120000,visual,engagement,0.2756964693082095,7.116211892350939e-26,1402,0.0434638328001828
sub-Hench_ses-20170618T120000,visual,outcome,-0.08099235465295573,0.0024061367507150285,1402,1.1725334910906904
sub-Lederberg_ses-20171205T120000,baseline,choice,0.023443318937846153,0.4138687541485274,1217,1.960991904817584
sub-Lederberg_ses-20171205T120000,baseline,engagement,0.278341955315496,4.317898659609158e-23,1217,0.033347043296117
sub-Lederberg_ses-20171205T120000,baseline,outcome,-0.03819258619805958,0.18302942905822156,1217,0.9006293466244509
sub-Lederberg_ses-20171205T120000,decision,choice,0.11362158836516043,7.110831936556619e-05,1217,0.2822856547024361
sub-Lederberg_ses-20171205T120000,decision,engagement,0.2682546463729629,1.6716235440042586e-21,1217,0.0315758825229759
sub-Lederberg_ses-20171205T120000,decision,outcome,-0.08333154093955934,0.0036242636728402063,1217,0.6223851312638393
sub-Lederberg_ses-20171205T120000,movement,choice,0.21601417062460881,2.5735519954536155e-14,1217,0.2233586096452706
sub-Lederberg_ses-20171205T120000,movement,engagement,0.30233757435112285,3.843281910233821e-27,1217,0.0147290146670229
sub-Lederberg_ses-20171205T120000,movement,outcome,0.13400400076220362,2.716483233884751e-06,1217,0.0832074182188512
sub-Lederberg_ses-20171205T120000,outcome,choice,0.20130620514368755,1.3592691019706787e-12,1217,0.1727328120292391
sub-Lederberg_ses-20171205T120000,outcome,engagement,0.32925965641717014,3.6637075258424735e-32,1217,0.0093431476090512
sub-Lederberg_ses-20171205T120000,outcome,outcome,0.09005838673427127,0.001661446828883415,1217,0.0606072404874111
sub-Lederberg_ses-20171205T120000,visual,choice,0.023787686475412895,0.4070418566792636,1217,1.1786812586299722
sub-Lederberg_ses-20171205T120000,visual,engagement,0.1835751815475218,1.100593605203333e-10,1217,0.0528040112980868
sub-Lederberg_ses-20171205T120000,visual,outcome,-0.0018271360016079137,0.9492288874890054,1217,0.8286352843413158
sub-Lederberg_ses-20171206T120000,baseline,choice,0.025126584290475328,0.3724630875546251,1262,1.966919735679309
sub-Lederberg_ses-20171206T120000,baseline,engagement,0.14070547009022744,5.206462830130983e-07,1262,0.0341973536748852
sub-Lederberg_ses-20171206T120000,baseline,outcome,0.02587942852119199,0.3583047373209065,1262,0.8175409975281122
sub-Lederberg_ses-20171206T120000,decision,choice,0.025660118538048584,0.36239385150725156,1262,0.1641162090513867
sub-Lederberg_ses-20171206T120000,decision,engagement,0.09519732518798646,0.0007086973516037869,1262,0.0499359378634862
sub-Lederberg_ses-20171206T120000,decision,outcome,0.01974764705616923,0.4833646692836506,1262,0.5242613758971849
sub-Lederberg_ses-20171206T120000,movement,choice,0.06179218300631864,0.028158751027292723,1262,0.1797818856160999
sub-Lederberg_ses-20171206T120000,movement,engagement,0.06309936979578167,0.024987555330786303,1262,0.0472192447626427
sub-Lederberg_ses-20171206T120000,movement,outcome,0.07679066836403967,0.006347119226304129,1262,0.0381570358033814
sub-Lederberg_ses-20171206T120000,outcome,choice,0.08547963641286663,0.002372167471844794,1262,0.2270600046350961
sub-Lederberg_ses-20171206T120000,outcome,engagement,0.08086599198300261,0.004045431534343054,1262,0.0404037695117072
sub-Lederberg_ses-20171206T120000,outcome,outcome,0.11376031099479629,5.112040701308832e-05,1262,0.0468143734599718
sub-Lederberg_ses-20171206T120000,visual,choice,0.04140160886101595,0.1415752878426791,1262,0.8345336999885935
sub-Lederberg_ses-20171206T120000,visual,engagement,0.17217209310808881,7.445577680753853e-10,1262,0.0480982358701523
sub-Lederberg_ses-20171206T120000,visual,outcome,-0.016556163941183026,0.5567946339147215,1262,0.7684651539538013
sub-Lederberg_ses-20171207T120000,baseline,choice,-0.10246932845303787,0.0004132520317125341,1184,1.817999713875348
sub-Lederberg_ses-20171207T120000,baseline,engagement,0.15177751811645968,1.5420179641574163e-07,1184,0.0620109758417726
sub-Lederberg_ses-20171207T120000,baseline,outcome,-0.12793461654915275,1.0070819101497888e-05,1184,1.3624786499148789
sub-Lederberg_ses-20171207T120000,decision,choice,-0.048646632046466354,0.0943038413820397,1184,0.1606373264285253
sub-Lederberg_ses-20171207T120000,decision,engagement,0.2447421723086024,1.3105826263349323e-17,1184,0.0769264424646399
sub-Lederberg_ses-20171207T120000,decision,outcome,-0.10556723073155967,0.00027387969467162555,1184,0.8606867823228521
sub-Lederberg_ses-20171207T120000,movement,choice,-0.06080283349338299,0.03644667600925584,1184,0.2230812523377372
sub-Lederberg_ses-20171207T120000,movement,engagement,0.18517890287142566,1.3560014740559627e-10,1184,0.094398811046351
sub-Lederberg_ses-20171207T120000,movement,outcome,0.01615475113180404,0.5786738953376671,1184,0.1120142233277702
sub-Lederberg_ses-20171207T120000,outcome,choice,-0.07677433933073453,0.00822084279482275,1184,0.2314694682132512
sub-Lederberg_ses-20171207T120000,outcome,engagement,0.158841150913798,3.912425373918198e-08,1184,0.144079558954682
sub-Lederberg_ses-20171207T120000,outcome,outcome,0.013306928650215946,0.6473701078957999,1184,0.0864223772338612
sub-Lederberg_ses-20171207T120000,visual,choice,-0.08087144489070257,0.0053634758462659405,1184,0.8338513324729634
sub-Lederberg_ses-20171207T120000,visual,engagement,0.19675731668875096,8.491416211913942e-12,1184,0.085103279549004
sub-Lederberg_ses-20171207T120000,visual,outcome,-0.055642021589900954,0.05561201604547039,1184,1.0525198625699872
sub-Lederberg_ses-20171208T120000,baseline,choice,0.044555494893941394,0.1339177995691617,1133,2.2752330300057557
