subject,C,rho_cross
630506,4.0,0.1014984099746569
630506,0.25,0.1041590897865421
630506,1.0,0.1029024523070941
630506,4.0,0.1027039589701883
630506,0.25,0.0803308753847691
630506,1.0,0.0805855888444699
630506,4.0,0.0816850849339846
630506,0.25,0.09704081102287
630506,1.0,0.0974606376388598
630506,4.0,0.0977677630424413
630506,0.25,0.0940256553853531
630506,1.0,0.0936167857693708
630506,4.0,0.0926566622789473
630506,0.25,0.102016023945484
630506,1.0,0.1046728301437886
630506,4.0,0.1062444737902312
630506,0.25,0.1210125220772578
630506,1.0,0.1154383100616441
630506,4.0,0.1111612409119488
630506,0.25,0.1191126231179411
630506,1.0,0.1211314283481866
630506,4.0,0.1215354798865134
630506,0.25,0.127459460253534
630506,1.0,0.1278960908536219
630506,4.0,0.1285680529120006
630506,0.25,0.1002275653675179
630506,1.0,0.1013607123792006
630506,4.0,0.1028959781706455
630506,0.25,0.0889903317058406
630506,1.0,0.0906950360615236
630506,4.0,0.0917490242389401
631510,0.25,0.2412521151372371
631510,1.0,0.241858114746662
631510,4.0,0.2404312383002009
631510,0.25,0.2335892033524687
631510,1.0,0.2328668519618718
631510,4.0,0.2319204180206202
631510,0.25,0.2360784634646286
631510,1.0,0.2365706772435787
631510,4.0,0.2356652364636356
631510,0.25,0.2682188197126322
631510,1.0,0.2686624996955032
631510,4.0,0.2675578114725254
631510,0.25,0.1982128854089122
631510,1.0,0.1942857959674548
631510,4.0,0.1922271069122494
631510,0.25,0.2414336715457626
631510,1.0,0.2358513277148472
631510,4.0,0.2332349927261888
631510,0.25,0.2115181226258294
631510,1.0,0.2134819931375231
631510,4.0,0.2158649374091328
631510,0.25,0.2486167996394
631510,1.0,0.2484229685972145
631510,4.0,0.2477447108350505
631510,0.25,0.2491457518926439
631510,1.0,0.2535996568142664
631510,4.0,0.2550048169077115
631510,0.25,0.2397703827160063
631510,1.0,0.2360206074569598
631510,4.0,0.2340637181017653
631510,0.25,0.2524914738151364
631510,1.0,0.2476307644283835
631510,4.0,0.2448704300951923
631510,0.25,0.2441104937139928
631510,1.0,0.2397423320714399
631510,4.0,0.2383246861923245
631570,0.25,0.113984507485414
631570,1.0,0.1112322807584393
631570,4.0,0.1096981922067677
631570,0.25,0.133473548419815
631570,1.0,0.1382168668677552
631570,4.0,0.14131030362452
631570,0.25,0.1010431822324374
631570,1.0,0.0998712357863586
631570,4.0,0.097200717037873
631570,0.25,0.0830646527424276
631570,1.0,0.0800451551420881
631570,4.0,0.0770460241968031
631570,0.25,0.0940879293389013
631570,1.0,0.0899843057934174
631570,4.0,0.0881113126587362
631570,0.25,0.1034842350184106
631570,1.0,0.0978086561326805
631570,4.0,0.0934836329858387
631570,0.25,0.1153820928104808
631570,1.0,0.1156345149970648
631570,4.0,0.1154115933491967
631570,0.25,0.1381648598648885
631570,1.0,0.1323299743575895
631570,4.0,0.1275774734739567
