subject,C,rho_within
633229,0.25,0.1800221150297569
633229,1.0,0.1713220240357785
633229,4.0,0.1648586718341573
633229,0.25,0.1331602463657821
633229,1.0,0.1268195255796447
633229,4.0,0.123830410946063
633229,0.25,0.1396420935933125
633229,1.0,0.1351735008235877
633229,4.0,0.1323649929279923
633229,0.25,0.1523559645526318
633229,1.0,0.1501203069254362
633229,4.0,0.1484577288999003
633229,0.25,0.1021659609687729
633229,1.0,0.0952843469108693
633229,4.0,0.0913731033774289
633229,0.25,0.1431175786767201
633229,1.0,0.1445958924073462
633229,4.0,0.1460237117755513
633229,0.25,0.0994943073164636
633229,1.0,0.1023012242367372
633229,4.0,0.105006055538211
633229,0.25,0.1515407933756511
633229,1.0,0.1509154913461783
633229,4.0,0.1508192105312586
633229,0.25,0.1476962498520643
633229,1.0,0.1500029002740102
633229,4.0,0.1508651644444061
633229,0.25,0.1590861535012431
633229,1.0,0.1591292109069909
633229,4.0,0.1600267578566374
633229,0.25,0.1576953605635745
633229,1.0,0.1570039873198573
633229,4.0,0.1554965739749109
637484,0.25,0.0628588029951398
637484,1.0,0.0697298450033714
637484,4.0,0.0736239063741703
637484,0.25,0.102012010039304
637484,1.0,0.104711595460897
637484,4.0,0.1075132002562408
637484,0.25,0.0764391677260569
637484,1.0,0.0778567082912375
637484,4.0,0.0800376966210912
637484,0.25,0.155035980035412
637484,1.0,0.1548438357212782
637484,4.0,0.1547446931702354
637484,0.25,0.1270791936666718
637484,1.0,0.1255003518707853
637484,4.0,0.1245614300755633
637484,0.25,0.0844385289727681
637484,1.0,0.089104965860466
637484,4.0,0.0918123509248687
637484,0.25,0.0814034140893892
637484,1.0,0.0814025160171778
