task_id,phase,topology,N,graph_seed,regime,connection_prob,coupling,k,budget_fraction,cycle_proxy,dynamics_aware,feedback_hub,high_degree,module_bridge,random,spectral,leverage_gain_vs_spectral,leverage_gain_vs_feedback_hub,leverage_gain_vs_high_degree,leverage_gain_vs_module_bridge,leverage_gain_vs_cycle_proxy,leverage_gain_vs_random,sel_total_degree,sel_feedback,sel_cycle3,sel_bridge,sel_spectral,coverage1,coverage2,out_neighbor_redundancy,selected_dispersion
5b436f7dc091d4ae63,stage4e_topology,modular,256,43003,sparse_drive,0.05,0.05,32,0.125,0.1426845788955688,0.2346875667572021,0.1132216677069664,0.1104423031210899,0.1305707842111587,0.08964494010433549,0.0950734540820121,0.13961411267519,0.12146589905023569,0.1242452636361122,0.1041167825460434,0.0920029878616333,0.1450426266528666,23.3125,158.3125,15.3125,3.71875,0.0548090623507667,0.828125,1.0,0.0214005241866816,2.294354838709677
5b4a9f3ea60362498f,stage4d_scaling,scale_free,128,44002,transition_dense,0.1,0.035,16,0.125,0.1969088315963745,0.2862045168876648,0.3127714991569519,0.3127714991569519,0.3127714991569519,0.07136313256341958,0.1969088315963745,0.08929568529129028,-0.02656698226928711,-0.02656698226928711,-0.02656698226928711,0.08929568529129028,0.2148413843242452,41.4375,523.6875,77.125,0.0,0.1352478760024651,0.921875,1.0,0.1106224664535573,1.3666666666666667
5c4f4bc87e212ef91e,stage4d_scaling,scale_free,128,44001,sparse_drive,0.05,0.05,4,0.03125,0.0092406682670116,0.0981852114200592,0.0092406682670116,0.0092406682670116,0.0092406682670116,0.023273992730537388,0.014137640595436,0.0840475708246232,0.0889445431530476,0.0889445431530476,0.0889445431530476,0.0889445431530476,0.07491121868952182,7.5,21.25,1.0,0.0,0.0449002647464491,0.15625,0.6171875,0.0,2.833333333333333
5d380918dc2d822579,stage4e_topology,small_world,256,43001,sparse_drive,0.05,0.05,32,0.125,0.1774190068244934,0.3218393623828888,0.1587302088737487,0.1467968523502349,0.1467968523502349,0.09129427687730636,0.1533284187316894,0.1685109436511994,0.1631091535091401,0.1750425100326539,0.1750425100326539,0.14442035555839539,0.23054508550558245,26.5625,197.84375,38.4375,0.0,0.0636988009661823,0.92578125,1.0,0.0232538220145746,2.280241935483871
65da98e7e78f755d95,stage4d_scaling,scale_free,512,44002,sparse_drive,0.05,0.05,16,0.03125,0.0886250808835029,0.2157346308231353,0.0691335499286651,0.0691335499286651,0.0691335499286651,0.04230262729106467,0.0886250808835029,0.1271095499396324,0.1466010808944702,0.1466010808944702,0.1466010808944702,0.1271095499396324,0.1734320035320706,61.0625,1476.5625,145.5625,0.0,0.0452014624616831,0.5703125,1.0,0.0379190118384711,1.8416666666666663
66e44d3dffbc34d608,stage4e_topology,small_world,256,43001,sparse_drive,0.05,0.05,64,0.25,0.1855197995901107,0.3227946758270263,0.2692389488220215,0.1211682856082916,0.3227521777153015,0.19847077899612484,0.2388701438903808,0.08392453193664551,0.05355572700500483,0.2016263902187347,4.2498111724798004e-05,0.13727487623691562,0.12432389683090148,25.953125,190.484375,37.359375,0.0,0.0620293304211041,0.98828125,1.0,0.0273821022672395,2.251984126984127
67a365b13ed0be1e72,stage4c_atlas_extension,scale_free,256,42006,transition_mid,0.05,0.035,16,0.0625,0.1676701009273529,0.2183531820774078,0.1462616622447967,0.1462616622447967,0.1462616622447967,0.023937205260153818,0.142504334449768,0.0758488476276398,0.07209151983261111,0.07209151983261111,0.07209151983261111,0.050683081150054904,0.19441597681725398,69.375,1329.6875,123.6875,0.0,0.1424939993624635,0.83984375,1.0,0.0862004836051157,1.2916666666666667
68b6166e99e02ba4df,stage4d_scaling,scale_free,128,44001,transition_mid,0.05,0.035,4,0.03125,0.0168086495250463,0.1182431429624557,0.0168086495250463,0.0168086495250463,0.0168086495250463,0.02734929704456586,0.0168156996369361,0.10142744332551959,0.1014344934374094,0.1014344934374094,0.1014344934374094,0.1014344934374094,0.09089384591788983,11.25,53.0,2.25,0.0,0.0681712473348496,0.203125,0.671875,0.0185185185185185,2.333333333333333
69f570419d8d70e132,stage4d_scaling,scale_free,512,44001,transition_dense,0.1,0.035,16,0.03125,0.040080115199089,0.1293182969093322,0.0553637146949768,0.044659998267889,0.044659998267889,0.07873644970823075,0.0611972399055957,0.0681210570037365,0.07395458221435539,0.0846582986414432,0.0846582986414432,0.0892381817102432,0.05058184720110144,152.0,6840.625,1053.0625,0.0,0.0617360998579994,0.86328125,1.0,0.0944411250536066,1.5416666666666667
6a3ded621c966cff19,stage4e_topology,modular,256,43002,transition_dense,0.1,0.035,32,0.125,0.0631980299949646,0.2335918694734573,0.0613950788974761,0.0465278849005699,0.0813036188483238,0.08163113589398557,0.0900158286094665,0.1435760408639908,0.1721967905759812,0.18706398457288742,0.15228825062513351,0.1703938394784927,0.15196073357947174,49.6875,670.65625,147.4375,8.1875,0.0617549435359837,0.96484375,1.0,0.0492607749714779,1.8891129032258065
