coupling,noise_sigma,method_label,metric,n_graphs,mean,median,ci95_low,ci95_high,positive_graphs,negative_graphs,zero_graphs,interval_scope
0.035,1.0,A_sparse,mean_rate_hz,12,20.311216347747376,20.303912480672203,20.256290810803574,20.36724763860305,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,dominant_frequency_hz,12,69.41666666666664,69.47916666666667,69.35763888888889,69.47048611111111,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,synchrony_proxy,12,0.9458048182229203,0.955855363359054,0.9268204396487111,0.9627340827137232,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,spectral_concentration,12,0.6558792349985905,0.638803519308567,0.6052000165451318,0.706190854176465,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,A_sparse,spectral_entropy,12,0.29076241945020026,0.2979028485715389,0.2652154779397986,0.31588045922754737,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,rhythm_score,12,0.23086523806624526,0.23186300136148924,0.20493445926016038,0.2574535467202723,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,mean_rate_hz,12,19.872027708424458,19.862017949422203,19.827917607625324,19.91948744604985,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,dominant_frequency_hz,12,69.55729166666667,69.51041666666666,69.51215277777777,69.62499999999999,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,synchrony_proxy,12,0.6545527322838705,0.6514362792174022,0.640127587121808,0.6697587351625164,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,spectral_concentration,12,0.6190872134433852,0.6326059276858965,0.5722374759873168,0.6648553640452317,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,shared_random,spectral_entropy,12,0.37444870085972876,0.3779002446681261,0.3494745537263547,0.3990684484545555,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,rhythm_score,12,0.3209403942649563,0.3108150567859411,0.29831879888143803,0.3472236145468842,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,mean_rate_hz,12,20.330795069535572,20.32380990187327,20.292172198825412,20.376185219817692,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,dominant_frequency_hz,12,69.34722222222223,69.36458333333334,69.27256944444444,69.41671006944445,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,synchrony_proxy,12,1.0092299746142495,1.0164792872965336,0.9957689681711297,1.0212052998133003,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,spectral_concentration,12,0.6003941442403529,0.5885078124701977,0.5713721310021356,0.6332778789361732,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.0,spectral,spectral_entropy,12,0.3161441105314427,0.32455794233828783,0.29888668092899023,0.3317813482795221,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,rhythm_score,12,0.40457698304413087,0.41451800956080354,0.3872159621199696,0.42003370788491645,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,mean_rate_hz,12,20.309581948651203,20.30175586541494,20.274845830599464,20.344842819538382,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,dominant_frequency_hz,12,69.52604166666666,69.53125,69.50694444444444,69.54687499999999,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,synchrony_proxy,12,0.9226797603898578,0.9229995707670848,0.9078342989656245,0.937327075837594,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,spectral_concentration,12,0.7288179274441468,0.7374245052536329,0.708633353248135,0.7475216160683582,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_mid,spectral_entropy,12,0.25387152320601875,0.24938994832336897,0.2439402491940806,0.2646675919842285,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,rhythm_score,12,0.3748756823026471,0.371392611724635,0.34558256776460133,0.40542165719412476,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,mean_rate_hz,12,20.3343486322297,20.332924405733742,20.293691928684712,20.376442733738152,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,dominant_frequency_hz,12,69.47916666666666,69.5,69.43229166666666,69.52083333333333,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,synchrony_proxy,12,0.9335646097444825,0.9356777990857761,0.9178675342351196,0.9491091714913233,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,spectral_concentration,12,0.6889503652022944,0.6945891367892424,0.650793545271477,0.7272223490574913,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_pool,spectral_entropy,12,0.27384688105020255,0.2747437072296937,0.25318671994739106,0.2933769342062684,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,rhythm_score,12,0.3958423071954813,0.39094436851640546,0.37573003402730043,0.416744781153587,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,mean_rate_hz,12,20.307411809762318,20.30973116556803,20.26146571834882,20.35678280873431,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,dominant_frequency_hz,12,69.5138888888889,69.52083333333333,69.5017361111111,69.52777777777779,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,synchrony_proxy,12,0.9005685514873929,0.9013164291779201,0.8851734404917807,0.9144343789770373,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,spectral_concentration,12,0.7269891018254889,0.7201636948933203,0.6988484573938573,0.7549398925828024,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_shared,spectral_entropy,12,0.25486279648935634,0.2587995302552978,0.24029609983036704,0.26927988874118053,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,rhythm_score,12,0.35356209872083527,0.34210608433932066,0.31894221430282216,0.38776946900955706,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,mean_rate_hz,12,20.328218003114067,20.31970020135244,20.275021607180435,20.38323321458366,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,dominant_frequency_hz,12,69.48437500000001,69.48958333333334,69.45659722222221,69.5138888888889,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,synchrony_proxy,12,0.9245678022917775,0.9307785208026569,0.9060311739695154,0.9405940438775966,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,spectral_concentration,12,0.6642838678219253,0.6598904859274626,0.6181275749501463,0.7095945904729889,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,A_sparse,spectral_entropy,12,0.2865644487707565,0.2920244184012214,0.26422889511579545,0.3088545388018247,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,rhythm_score,12,0.2181068403103078,0.2135079397509495,0.19583042287591118,0.24369902374520377,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,mean_rate_hz,12,19.884980731540256,19.871946334838867,19.83942070007324,19.934005864461266,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,dominant_frequency_hz,12,69.58159722222223,69.55208333333334,69.52777777777777,69.65972222222223,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,synchrony_proxy,12,0.6346759135938352,0.637259519348542,0.6194395776061962,0.6508921122230176,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,spectral_concentration,12,0.6058465722534391,0.601621105025212,0.5673743731264645,0.6457307753825767,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,shared_random,spectral_entropy,12,0.3867550369145141,0.3904215283691883,0.36206692339490276,0.40904867739882317,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,rhythm_score,12,0.32196104495475686,0.31035221802691615,0.2970876889523222,0.3469967962514298,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,mean_rate_hz,12,20.348902146021526,20.346148769060772,20.31175478017992,20.392285577290593,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,dominant_frequency_hz,12,69.40625000000001,69.40625,69.35937499999999,69.45138888888889,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,synchrony_proxy,12,0.9897532616224552,0.9960400896767776,0.9788469555580781,0.9993903890821255,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,spectral_concentration,12,0.6056195961104499,0.591585136950016,0.5710769891092141,0.6400698307513569,12,0,0,pointwise; descriptive; no cell-wise tests
0.035,1.2,spectral,spectral_entropy,12,0.31317750354193974,0.32540530183662963,0.2959477846691799,0.3298017965267515,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,rhythm_score,12,0.3316360248201009,0.3258892415712277,0.3073944584731685,0.35620553739006733,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,mean_rate_hz,12,20.667078117529552,20.660154024759926,20.62903179526329,20.707111324701042,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,dominant_frequency_hz,12,69.64409722222223,69.625,69.59027777777776,69.71527777777777,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,synchrony_proxy,12,0.9261296335607767,0.9234659560024738,0.9101915506439076,0.9419549693612175,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,spectral_concentration,12,0.634115897015565,0.6336509243895609,0.6034619980621048,0.6646208751170586,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_mid,spectral_entropy,12,0.30569273668030894,0.30665023593852914,0.2897896803514515,0.3214686550730322,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_pool,rhythm_score,12,0.35897089160668355,0.358741736660401,0.32595847689145657,0.3922942860608196,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_pool,mean_rate_hz,12,20.670950651168823,20.678139328956604,20.630218689474795,20.71115333404806,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_pool,dominant_frequency_hz,12,69.50694444444444,69.51041666666666,69.42703993055555,69.57465277777779,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_pool,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
