subject,top_fraction,topset_balacc_crossover
630506,0.05,0.0313074712643677
630506,0.1,-0.009176789446186
630506,0.2,-0.0130890804597701
630506,0.4,0.0281671238244515
630506,0.05,0.0506619458128079
630506,0.1,0.0452201354679802
630506,0.2,0.0329048645320196
630506,0.4,0.0588516009852215
630506,0.05,0.0418724508713385
630506,0.1,-0.0163477938450128
630506,0.2,0.0586540600667407
630506,0.4,0.0402484241750091
630506,0.05,0.0346752810361682
630506,0.1,0.0213587487781036
630506,0.2,0.0149410434995111
630506,0.4,-0.0117549486803518
631510,0.05,0.0815471923536439
631510,0.1,0.0611083540115798
631510,0.2,0.0828113224887417
631510,0.4,0.0079670986122599
631510,0.05,0.0508146323663563
631510,0.1,0.0312110016420361
631510,0.2,0.0295128626163109
631510,0.4,-0.0103124429848566
631510,0.05,0.066551724137931
631510,0.1,0.0232183908045975
631510,0.2,0.0472988505747127
631510,0.4,0.0603448275862069
631510,0.05,0.038684252343874
631510,0.1,0.0140380846443138
631510,0.2,0.0378836273107685
631510,0.4,0.0198461253244346
631510,0.05,0.0280107526881719
631510,0.1,0.0128490028490029
631510,0.2,0.0108482676224611
631510,0.4,-0.0113408694053855
631510,0.05,0.0483908045977012
631510,0.1,0.0743678160919538
631510,0.2,-0.0077011494252872
631510,0.4,-0.0159770114942529
631510,0.05,0.0369581280788177
631510,0.1,0.0341338259441706
631510,0.2,0.0083169129720852
631510,0.4,0.0261083743842363
631510,0.05,0.0084129089301503
631510,0.1,0.0467108753315649
631510,0.2,0.086206896551724
631510,0.4,0.0180061892130858
631510,0.05,0.0590209359605912
631510,0.1,0.0233913177339901
631510,0.2,-0.000554187192118
631510,0.4,0.0373152709359606
631510,0.05,-0.0029321753515301
631510,0.1,0.0240694789081884
631510,0.2,0.0377915632754342
631510,0.4,0.0178825475599667
631510,0.05,0.063549955791335
631510,0.1,0.0066081428150394
631510,0.2,0.0380029612788233
631510,0.4,0.0302153944395322
631510,0.05,0.0313078703703703
631510,0.1,0.0140376984126984
631510,0.2,-0.0037533068783068
631510,0.4,0.0183035714285714
631570,0.05,-0.0544906874039938
631570,0.1,-0.0309025110940431
631570,0.2,-0.0315838880355009
631570,0.4,-0.0285714285714284
631570,0.05,0.0146164021164019
631570,0.1,-0.0310185185185184
