subject,C,activity_selectivity_residual_delta_rho
625555,4.0,-0.0086304971985678
625555,0.25,-0.0147849843962916
625555,1.0,-0.0172418654468511
625555,4.0,-0.0188053640824564
625555,0.25,0.0435346041423303
625555,1.0,0.0451684405287581
625555,4.0,0.0464766879696487
630506,0.25,-0.0374764522017331
630506,1.0,-0.0408204315606186
630506,4.0,-0.0422635274994309
630506,0.25,-0.048504350816016
630506,1.0,-0.0521078596340915
630506,4.0,-0.0532545202136903
630506,0.25,-0.0021109165497472
630506,1.0,-0.0036036533620966
630506,4.0,-0.0052980888340205
630506,0.25,0.0213215757626842
630506,1.0,0.0229569399786472
630506,4.0,0.0224867741704271
630506,0.25,0.003755753663981
630506,1.0,0.0070085475408128
630506,4.0,0.0099498345633587
630506,0.25,-0.0549490067107422
630506,1.0,-0.0638541555138467
630506,4.0,-0.0687694237098406
630506,0.25,0.0319310760875656
630506,1.0,0.0347862753292659
630506,4.0,0.0343034762260374
630506,0.25,-0.03728842197354
630506,1.0,-0.0323175317986595
630506,4.0,-0.027372910624669
630506,0.25,-0.0491096162719526
630506,1.0,-0.0464012840237832
630506,4.0,-0.0425570298990449
630506,0.25,-0.0116698425550686
630506,1.0,-0.0105124772767523
630506,4.0,-0.0112697925551501
630506,0.25,0.0163031089174589
630506,1.0,0.0175401477316905
630506,4.0,0.0174445190564093
630506,0.25,0.0123920702540665
630506,1.0,0.0092890148082923
630506,4.0,0.0059332263953326
631510,0.25,0.0432725929806444
631510,1.0,0.0366507322725195
631510,4.0,0.0351014771895499
631510,0.25,0.0107235660975584
631510,1.0,0.0061567989121822
631510,4.0,0.0104968081242444
631510,0.25,0.025530963339629
631510,1.0,0.0250871096611059
631510,4.0,0.0231557435491992
631510,0.25,0.082001701841645
631510,1.0,0.0859486694615287
631510,4.0,0.0875854578128965
631510,0.25,0.0552969508560785
631510,1.0,0.0590766813402255
631510,4.0,0.0616861148766937
631510,0.25,0.0023272709515555
631510,1.0,0.0072809621610024
631510,4.0,0.0087090708708785
631510,0.25,0.0864982181736049
631510,1.0,0.0846165617846963
631510,4.0,0.081753024689533
631510,0.25,0.0618338935258979
631510,1.0,0.057899924520976
631510,4.0,0.0553709518820703
631510,0.25,0.0635308612647823
631510,1.0,0.0598819448690936
631510,4.0,0.0590205481828223
631510,0.25,0.0098034891690882
631510,1.0,0.0200750134054552
631510,4.0,0.0260551555651002
631510,0.25,-0.0097300579656951
631510,1.0,-0.0042009271176529
631510,4.0,-0.0035578904284331
631510,0.25,0.024057451926339
631510,1.0,0.0202184473809159
631510,4.0,0.0168153223241674
631570,0.25,-0.0326077995469059
631570,1.0,-0.033518981772809
631570,4.0,-0.0353548516979999
631570,0.25,0.0343184037774128
631570,1.0,0.0363864658250554
631570,4.0,0.0393393064123258
631570,0.25,0.0695972976435738
631570,1.0,0.0721144409509285
631570,4.0,0.0707825972047497
631570,0.25,0.0816098954132101
631570,1.0,0.0800294147309952
631570,4.0,0.0807796973257798
631570,0.25,0.0461614385912956
631570,1.0,0.0536553727879687
631570,4.0,0.0587978244335182
631570,0.25,0.0634125941065514
631570,1.0,0.0664179748717551
631570,4.0,0.0678787764254869
631570,0.25,0.0240019467314009
631570,1.0,0.0210786918753938
631570,4.0,0.0209551993813521
631570,0.25,0.0086490411818319
631570,1.0,0.0054431672919587
631570,4.0,0.0052510786525249
631570,0.25,0.0110497362376189
631570,1.0,0.0193068029158414
631570,4.0,0.0225111950901094
631570,0.25,-0.0424099777655224
631570,1.0,-0.0538155195176428
631570,4.0,-0.0589895001265045
631570,0.25,0.1057245083716441
631570,1.0,0.1085953443623493
631570,4.0,0.1081679058666607
631570,0.25,0.0558163240887384
631570,1.0,0.0545453764585057
631570,4.0,0.0557990049878203
633229,0.25,0.0162250605715171
633229,1.0,0.0121327282962671
633229,4.0,0.0094879403316723
633229,0.25,0.0610234718626802
633229,1.0,0.0555416674612067
633229,4.0,0.0522704847345998
633229,0.25,0.0327772215169234
633229,1.0,0.0243677076517497
633229,4.0,0.019393603454807
633229,0.25,0.0007140577552017
633229,1.0,-0.0002851856390254
633229,4.0,-0.0009487275518902
633229,0.25,0.0410828351086309
633229,1.0,0.0415174549112217
633229,4.0,0.0409401056837303
633229,0.25,-0.0236309035044434
633229,1.0,-0.030771995011906
633229,4.0,-0.0353992726198248
633229,0.25,0.0206609647611736
633229,1.0,0.0222255678584512
633229,4.0,0.0240070719233224
633229,0.25,-0.0222351200841084
633229,1.0,-0.0201217530766448
633229,4.0,-0.0184541143328306
633229,0.25,0.0677385203136466
633229,1.0,0.0670905294806207
633229,4.0,0.0676542403711219
633229,0.25,-0.0075274932389821
633229,1.0,-0.0060425972863906
633229,4.0,-0.0043830332838352
633229,0.25,0.0522448734558386
633229,1.0,0.0528483654427156
633229,4.0,0.0520377239855694
633229,0.25,0.05141803070492
633229,1.0,0.0529130870337018
633229,4.0,0.0527257862882024
637484,0.25,-0.0726331554098936
637484,1.0,-0.065457270310913
637484,4.0,-0.0617276787142371
637484,0.25,-0.0190890667982916
637484,1.0,-0.0233242006735396
637484,4.0,-0.02225993841889
637484,0.25,-0.0240342376975018
637484,1.0,-0.0224376083466891
637484,4.0,-0.0216431684829031
637484,0.25,0.046588033635992
637484,1.0,0.0444617054630318
637484,4.0,0.0428990874757581
637484,0.25,0.0003218106206983
637484,1.0,-0.002794595491194
637484,4.0,-0.0060825798105804
637484,0.25,-0.0257052133739615
637484,1.0,-0.0198092614723585
637484,4.0,-0.0152512567083911
637484,0.25,-0.0377091247652188
637484,1.0,-0.0433036329900222
637484,4.0,-0.0473111072461658
637484,0.25,-0.0179649743393604
637484,1.0,-0.0197759597473509
637484,4.0,-0.0217289046759579
637484,0.25,0.0179611904712587
637484,1.0,0.0221328133229735
637484,4.0,0.0240623559040171
637484,0.25,-0.0239766349753344
637484,1.0,-0.0304195787230301
637484,4.0,-0.0343366994033922
637484,0.25,0.0402665759585293
637484,1.0,0.0417700256211241
637484,4.0,0.0387818104735888
637484,0.25,0.0706184971249799
637484,1.0,0.0691950721196023
637484,4.0,0.0669592469366778
