subject,C,delta_jaccard
625545,4.0,-0.0027387229809311
625545,0.25,0.0093395423274088
625545,1.0,0.0141608163347294
625545,4.0,0.0169807558295634
625554,0.25,-0.0150534246325177
625554,1.0,-0.0127684783013917
625554,4.0,-0.0118652304208458
625554,0.25,-0.0028084570089264
625554,1.0,-0.0080407825519926
625554,4.0,-0.0036164201790807
625554,0.25,0.0009596781986573
625554,1.0,0.000290795313203
625554,4.0,-0.0018912469682332
625554,0.25,-0.0064774473474983
625554,1.0,-0.0043048776425028
625554,4.0,-0.0011687781253339
625554,0.25,0.0078766678141168
625554,1.0,0.0112269695519563
625554,4.0,0.0212237702241727
625554,0.25,0.0109648035922209
625554,1.0,0.0086964544117742
625554,4.0,0.0131593768003535
625554,0.25,0.0219809460221681
625554,1.0,0.025069219295362
625554,4.0,0.0317403885442348
625554,0.25,0.0047401305713326
625554,1.0,0.0093900876048448
625554,4.0,0.0022555030062812
625554,0.25,-0.0042406131847401
625554,1.0,0.0054913626600246
625554,4.0,0.0065377622194353
625554,0.25,0.0189523174155392
625554,1.0,0.027063685299805
625554,4.0,0.0282942040008337
625554,0.25,0.0318779616981955
625554,1.0,0.0307738604492562
625554,4.0,0.0298235930630989
625554,0.25,-0.0296540996455654
625554,1.0,-0.0296507039110132
625554,4.0,-0.0217314798566501
625555,0.25,0.012570988964962
625555,1.0,0.0117327531684416
625555,4.0,0.0065845744232361
625555,0.25,0.0122488538210038
625555,1.0,0.0174431932468789
625555,4.0,0.0147103062247325
625555,0.25,-0.0130874112066446
625555,1.0,-0.0115021241511251
625555,4.0,-0.0163015487482752
625555,0.25,0.0016355560351028
625555,1.0,0.0033475399223133
625555,4.0,0.0110173908948728
625555,0.25,0.0157139465208035
625555,1.0,0.0103455140917258
625555,4.0,0.0034291702172537
625555,0.25,0.0195004883124845
625555,1.0,0.0220985745961734
625555,4.0,0.0220039722949295
625555,0.25,8.532729901145064e-05
625555,1.0,-0.0124967594580719
625555,4.0,-0.0167718900640333
625555,0.25,0.0273089728785293
625555,1.0,0.029669270436276
625555,4.0,0.0286830991278675
625555,0.25,0.0120427508712676
625555,1.0,0.0134577608795867
625555,4.0,0.0124086393802722
625555,0.25,0.0100143771539551
625555,1.0,0.0091945288753799
625555,4.0,0.0057996852158239
625555,0.25,-0.006850932438024
625555,1.0,-0.0100436221830878
625555,4.0,-0.0071089700694348
625555,0.25,0.0094905792618616
625555,1.0,0.0051259200722909
625555,4.0,0.0084884684347353
630506,0.25,-0.0160634875051405
630506,1.0,-0.026325585409355
630506,4.0,-0.0277903123922167
630506,0.25,-0.0047438327233501
630506,1.0,-0.0119680644911246
630506,4.0,-0.016442821089846
630506,0.25,0.0290349045946023
630506,1.0,0.0261928555213974
630506,4.0,0.0204501319236034
630506,0.25,0.005758005421997
630506,1.0,0.0171030387601643
630506,4.0,0.0143939178309036
630506,0.25,0.0073209483249494
630506,1.0,0.0099496441642653
630506,4.0,0.0177793734218279
630506,0.25,-0.0311637079089734
630506,1.0,-0.0323412301721282
630506,4.0,-0.0281763728577992
630506,0.25,0.0396184686582564
630506,1.0,0.0380833179658839
630506,4.0,0.0438510446479733
630506,0.25,0.0176348719777089
630506,1.0,0.0210735963326636
630506,4.0,0.0238026896437839
630506,0.25,-0.0202569723817113
630506,1.0,-0.0058022767122778
630506,4.0,-0.0065109036922057
630506,0.25,-0.0277231778832923
630506,1.0,-0.0161543580864101
630506,4.0,-0.0190229118711943
630506,0.25,0.0162710714257105
630506,1.0,0.0058761410585158
630506,4.0,0.0103175305541225
630506,0.25,0.0191554399101665
630506,1.0,0.0116179082402951
630506,4.0,0.0131272363108918
631510,0.25,0.0206723205382937
631510,1.0,0.0242176644109983
631510,4.0,0.020712875150813
631510,0.25,0.0084022154534513
631510,1.0,0.0017685265030298
631510,4.0,-0.0017484297069149
631510,0.25,0.0142895988280695
631510,1.0,0.0051450862088298
631510,4.0,0.0087517045393746
631510,0.25,0.0552923181672154
631510,1.0,0.0627858799371774
631510,4.0,0.0536267008739438
631510,0.25,0.0418411848398655
631510,1.0,0.0326714205001566
631510,4.0,0.0395452468120299
631510,0.25,0.0166618750291105
631510,1.0,0.0134330425148871
631510,4.0,0.0014066067586586
