graph,task,coupling,readout,method,score,normalized_score,mask_count
formal-04,delayed_recall,0.035,cross_state_readout,spectral,-7.248758948662296,-7.248758948662296,1
formal-04,delayed_recall,0.05,state_matched,spectral,0.873475753720836,0.873475753720836,1
formal-04,delayed_recall,0.05,cross_state_readout,spectral,-29.39226514357386,-29.39226514357386,1
formal-04,delayed_recall,0.035,state_matched,input_energy_degree,0.9118882097963186,0.9118882097963186,1
formal-04,delayed_recall,0.035,cross_state_readout,input_energy_degree,-41.413720515859055,-41.413720515859055,1
formal-04,delayed_recall,0.05,state_matched,input_energy_degree,0.8862893250392679,0.8862893250392679,1
formal-04,delayed_recall,0.05,cross_state_readout,input_energy_degree,-4.8357207026734015,-4.8357207026734015,1
formal-04,delayed_recall,0.035,state_matched,input_quota_random,0.8733191024748834,0.8733191024748834,1
formal-04,delayed_recall,0.035,cross_state_readout,input_quota_random,-8.425150498463365,-8.425150498463365,1
formal-04,delayed_recall,0.05,state_matched,input_quota_random,0.9037196679266827,0.9037196679266827,1
formal-04,delayed_recall,0.05,cross_state_readout,input_quota_random,-4.274256262325988,-4.274256262325988,1
formal-04,delayed_recall,0.035,state_matched,unselected_random,0.8604670114570315,0.8604670114570315,8
formal-04,delayed_recall,0.035,cross_state_readout,unselected_random,-14.837777152157823,-14.837777152157823,8
formal-04,delayed_recall,0.05,state_matched,unselected_random,0.9034586230186756,0.9034586230186756,8
formal-04,delayed_recall,0.05,cross_state_readout,unselected_random,-2.436036786136133,-2.436036786136133,8
formal-04,delayed_recall,0.035,state_matched,group_matched_random,0.8857284531256441,0.8857284531256441,4
formal-04,delayed_recall,0.035,cross_state_readout,group_matched_random,-13.759087192294038,-13.759087192294038,4
formal-04,delayed_recall,0.05,state_matched,group_matched_random,0.9041116801751669,0.9041116801751669,4
formal-04,delayed_recall,0.05,cross_state_readout,group_matched_random,-2.4394553450435628,-2.4394553450435628,4
formal-05,delayed_recall,0.035,state_matched,random_search,0.9271723851537763,0.9271723851537763,1
formal-05,delayed_recall,0.035,cross_state_readout,random_search,-12.762322036359478,-12.762322036359478,1
formal-05,delayed_recall,0.05,state_matched,random_search,0.9052602556853597,0.9052602556853597,1
formal-05,delayed_recall,0.05,cross_state_readout,random_search,-5.777095890807959,-5.777095890807959,1
formal-05,delayed_recall,0.035,state_matched,local_search,0.8805944084080297,0.8805944084080297,1
formal-05,delayed_recall,0.035,cross_state_readout,local_search,-1.9892150178138759,-1.9892150178138759,1
formal-05,delayed_recall,0.05,state_matched,local_search,0.9298255253055855,0.9298255253055855,1
formal-05,delayed_recall,0.05,cross_state_readout,local_search,-5.212097696239649,-5.212097696239649,1
formal-05,delayed_recall,0.035,state_matched,population_search,0.8929489461853685,0.8929489461853685,1
formal-05,delayed_recall,0.035,cross_state_readout,population_search,-1.0733099570361668,-1.0733099570361668,1
formal-05,delayed_recall,0.05,state_matched,population_search,0.8972059553216903,0.8972059553216903,1
formal-05,delayed_recall,0.05,cross_state_readout,population_search,-8.895479782558276,-8.895479782558276,1
formal-05,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9251501737239595,0.9251501737239595,1
formal-05,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-2.4049879900289888,-2.4049879900289888,1
formal-05,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9108659001333762,0.9108659001333762,1
formal-05,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-5.125351659625517,-5.125351659625517,1
formal-05,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.8918130458902289,0.8918130458902289,1
formal-05,delayed_recall,0.035,cross_state_readout,specialist_pool_0.05,-2.8519911812069005,-2.8519911812069005,1
formal-05,delayed_recall,0.05,state_matched,specialist_pool_0.05,0.9086684266492223,0.9086684266492223,1
formal-05,delayed_recall,0.05,cross_state_readout,specialist_pool_0.05,-5.007408936933953,-5.007408936933953,1
formal-05,delayed_recall,0.035,state_matched,high_degree,0.8891659345111173,0.8891659345111173,1
formal-05,delayed_recall,0.035,cross_state_readout,high_degree,-55.38945980148963,-55.38945980148963,1
formal-05,delayed_recall,0.05,state_matched,high_degree,0.9277576347479154,0.9277576347479154,1
formal-05,delayed_recall,0.05,cross_state_readout,high_degree,-12.23259804447785,-12.23259804447785,1
formal-05,delayed_recall,0.035,state_matched,spectral,0.8873714302635396,0.8873714302635396,1
formal-05,delayed_recall,0.035,cross_state_readout,spectral,-45.59594359009594,-45.59594359009594,1
formal-05,delayed_recall,0.05,state_matched,spectral,0.9108702639499565,0.9108702639499565,1
formal-05,delayed_recall,0.05,cross_state_readout,spectral,-5.293053335739711,-5.293053335739711,1
formal-05,delayed_recall,0.035,state_matched,input_energy_degree,0.9298019723335401,0.9298019723335401,1
formal-05,delayed_recall,0.035,cross_state_readout,input_energy_degree,-21.049019829975418,-21.049019829975418,1
formal-05,delayed_recall,0.05,state_matched,input_energy_degree,0.9068151297991008,0.9068151297991008,1
formal-05,delayed_recall,0.05,cross_state_readout,input_energy_degree,-1.1836268220504582,-1.1836268220504582,1
formal-05,delayed_recall,0.035,state_matched,input_quota_random,0.8982240563582564,0.8982240563582564,1
formal-05,delayed_recall,0.035,cross_state_readout,input_quota_random,-16.552041430434432,-16.552041430434432,1
formal-05,delayed_recall,0.05,state_matched,input_quota_random,0.9117554129829816,0.9117554129829816,1
formal-05,delayed_recall,0.05,cross_state_readout,input_quota_random,-3.7715928694972147,-3.7715928694972147,1
