cortical_layer,C_primary_shared
5,1.3163505816253387
5,1.3675844608322858
5,1.6534387209595534
4,1.4154633319741463
4,1.5219440289402908
5,1.5042967395861158
6a,1.0342956869623916
5,0.9231642951584982
5,1.4931234507850315
5,1.3605357614101212
5,1.4388295738817027
5,0.5915543240265864
5,1.4104490477724798
5,1.516837231941857
5,1.32102064310515
5,1.4630099299368162
5,1.2252718381580907
4,1.0442334085997311
5,0.9504249236024608
4,0.709985891826027
4,1.0811285816610845
6a,1.4814124271403766
6a,0.8560091638799463
5,1.4517402319869614
6a,1.7152532629260215
2/3,1.4899241354827706
2/3,1.368176015490559
5,0.8113352644757033
2/3,1.4340135892495829
2/3,0.7518736935486015
2/3,1.491856657778211
5,1.3196481793858563
5,1.345140137745108
MISSING,1.3905109111979252
MISSING,1.452108554243663
MISSING,1.3177451967998617
MISSING,1.4524628246575555
5,1.41803552064111
5,1.3608190194638647
5,1.5038767058503104
5,1.1233562018114427
5,1.1604363831893256
5,1.1544608995802976
5,1.4336610887113352
5,1.5461997926836912
MISSING,1.2608641741848687
5,1.4843853554857882
5,1.5373423595285212
5,1.0000502828702404
5,1.535605742868199
5,0.9482764694745344
5,0.6988061074152854
5,0.7290783446998328
6a,0.6796048862858808
5,0.5413543241605738
5,1.1268795201396486
5,1.2490421533444356
5,1.5977405195693537
6a,1.3510054000864298
5,1.3751737181993775
6a,1.2384823725767269
6a,1.1709450571305495
6a,1.3902464351858126
5,1.3281403011536324
5,1.217713947291687
5,1.315534269602453
5,1.223240205005857
5,1.1681774109628469
5,1.601553486799128
5,1.446659972015183
6a,1.8038837668794985
6a,1.5373409238824869
2/3,1.010897093792797
6a,1.271507965389982
6a,1.1841548819805845
5,0.6634026879937575
MISSING,1.1079277262403195
MISSING,1.5352963130310333
5,1.2539024985714655
6a,1.1329114701344205
6a,0.976481648566948
6a,1.4871235392659716
2/3,1.4143413984315778
2/3,1.2852853284817354
4,1.7220482744387184
2/3,1.4044530734776317
2/3,1.2378913852548707
4,1.3216906233506829
5,1.3180888604490553
5,1.1874890328254752
6a,1.1095613605764434
4,1.1648182881485205
4,1.0960750464443292
4,1.5506488560320952
4,1.2162917000047349
4,1.4561837747894326
5,1.342015479542776
2/3,1.378377722018086
MISSING,1.5148934482600327
6a,0.9385005072264768
6a,1.0766981480546676
6a,1.0962081731678772
6a,1.318662091983784
2/3,1.164332667853289
4,0.999562965541049
5,1.235863154960195
2/3,1.4208981213863965
4,1.3431000287093149
2/3,1.2634594986962155
2/3,1.4503768083640254
2/3,1.4296472857157505
6a,1.3943792217859867
5,1.2485432820103677
2/3,1.2153717617557294
2/3,0.9927210250478058
2/3,1.1189783991078526
2/3,1.4060934548484898
6a,0.682776604527762
5,1.2727325374358356
5,1.2369400233114705
2/3,1.3161370994438106
2/3,1.4630649159561262
5,0.8671744769244306
2/3,1.1121838683636631
2/3,1.0011363329910623
2/3,1.4489316904650915
4,0.9071936685412412
2/3,0.8079461612451557
2/3,1.4241102513115904
4,0.950424691761756
2/3,1.1031779052672983
5,0.8872677851460203
4,1.088040522376254
5,0.9798826346924416
4,1.0271624717278036
4,0.9372005126205484
2/3,1.5630330728519408
4,1.0160734257995916
2/3,1.076026909423689
5,0.9840545607254152
5,1.2303899008893513
5,1.222350770927806
6a,0.7243858058766209
5,0.7788228732187263
5,1.4151725146608236
5,0.8386526345102767
5,0.8730565982656607
2/3,1.4451016100616054
5,1.3842438170892506
5,1.3157799319756205
5,1.4171829069390496
5,1.4617536611377386
5,1.3966221133584726
5,1.6065509234696371
5,1.5742687528352646
5,1.3792774446868536
5,1.5526547085290383
6a,1.3173333513084833
6a,1.3211289182797112
6a,1.2338557887403216
6a,1.045770133996824
5,1.1543925252376404
5,1.3037432795683743
5,1.3073909046791758
5,1.3526620800574165
5,1.5826774006750597
6a,1.421740361267946
6a,1.3822112895279397
6a,1.3901906717905084
6a,0.9381724547042692
