subject,C,delta_rho
625554,1.0,-0.036996124890645
625554,4.0,-0.0361148262591703
625554,0.25,0.0221143903382973
625554,1.0,0.0288289732066429
625554,4.0,0.0341545248927736
625554,0.25,0.0379856262245682
625554,1.0,0.0405453233450629
625554,4.0,0.0426167924675569
625554,0.25,-0.040897352456469
625554,1.0,-0.0376594060462726
625554,4.0,-0.0348157171028016
625554,0.25,0.0084737596248751
625554,1.0,0.0117359031952305
625554,4.0,0.0129590337080049
625554,0.25,0.0013288968476118
625554,1.0,-0.0005224025772515
625554,4.0,-0.0002142220717099
625554,0.25,0.0108705252733305
625554,1.0,0.0089889941659464
625554,4.0,0.0074317791604328
625554,0.25,0.0214467364919361
625554,1.0,0.0193283048245827
625554,4.0,0.0191949079179238
625554,0.25,0.0286649457826183
625554,1.0,0.0296899625592322
625554,4.0,0.0284149537496904
625554,0.25,-0.0198030986649071
625554,1.0,-0.0157737362783262
625554,4.0,-0.0129379508736763
625554,0.25,0.0269064701250615
625554,1.0,0.0293485649031565
625554,4.0,0.0309553260775789
625554,0.25,0.0113269342876288
625554,1.0,0.0133626782370886
625554,4.0,0.0149227280916493
625555,0.25,0.0547169826123033
625555,1.0,0.0532809803390418
625555,4.0,0.0524416520769808
625555,0.25,0.0389298525450261
625555,1.0,0.0408621193755904
625555,4.0,0.0423248733201581
625555,0.25,-0.0136901732198924
625555,1.0,-0.0152523716187761
625555,4.0,-0.0161399430724729
625555,0.25,0.0232151274479293
625555,1.0,0.0213735458865984
625555,4.0,0.0205397659867211
625555,0.25,-0.014390026686184
625555,1.0,-0.0128713146267164
625555,4.0,-0.0109734958787025
625555,0.25,0.057273696940103
625555,1.0,0.0561287511301341
625555,4.0,0.0554146701607624
625555,0.25,-0.0058049877071649
625555,1.0,-0.0068679510853074
625555,4.0,-0.0070035658724742
625555,0.25,0.0659689429866636
625555,1.0,0.0668262501532946
625555,4.0,0.0672624572614669
625555,0.25,0.0653797650199243
625555,1.0,0.0631292024282179
625555,4.0,0.0621031380937328
625555,0.25,-0.009872152619556
625555,1.0,-0.0089943263028675
625555,4.0,-0.0079414080608231
625555,0.25,-0.0067916575136075
625555,1.0,-0.009991485575469
625555,4.0,-0.0106713098578255
625555,0.25,0.0471685649281297
625555,1.0,0.0460519659637379
625555,4.0,0.0466899679681205
630506,0.25,-0.0278734658970772
