variant,graph_seed,repeat,source_state,home_rhythm_score,foreign_rhythm_score,advantage_rhythm_score,home_alternative_spectral_score,foreign_alternative_spectral_score,advantage_alternative_spectral_score,home_mean_rate_hz,foreign_mean_rate_hz,advantage_mean_rate_hz,home_spectral_concentration,foreign_spectral_concentration,advantage_spectral_concentration,home_spectral_entropy,foreign_spectral_entropy,advantage_spectral_entropy,home_synchrony_proxy,foreign_synchrony_proxy,advantage_synchrony_proxy
primary,93006,0,transition_mid,0.46101636439561844,0.3590443842113018,0.10197198018431664,0.608304388821125,0.48450868017971516,0.12379570864140987,20.35790634155273,21.71752548217773,-1.359619140625,0.7869925275444984,0.6747688762843609,0.11222365126013756,0.23311223089694974,0.29631378687918186,-0.06320155598223212,0.9933854341506958,0.9498685896396637,0.043516844511032104
primary,93006,0,sparse_drive,0.2792469058185816,0.385999396443367,-0.10675249062478542,0.3835021033883095,0.5275671295821667,-0.1440650261938572,21.65282821655273,20.27660751342773,1.376220703125,0.583566676825285,0.7214452773332596,-0.13787860050797462,0.35051408410072327,0.2763254027813673,0.07418868131935596,0.9218155220150948,0.9311280474066734,-0.009312525391578674
primary,93007,0,transition_mid,0.321071021258831,0.17639432661235327,0.14467669464647775,0.44198709540069103,0.25469510070979595,0.18729199469089508,20.21313095092773,21.63988876342773,-1.4267578125,0.6294968277215958,0.4251300096511841,0.20436681807041168,0.3166791573166847,0.42124664038419724,-0.10456748306751251,0.9182324483990669,0.847682274878025,0.07055017352104187
primary,93007,0,sparse_drive,0.2793926578015089,0.3066083062440157,-0.02721564844250679,0.3844336587935686,0.4195964094251394,-0.035162750631570816,21.61767196655273,20.25097274780273,1.36669921875,0.5634955279529095,0.5898183919489384,-0.0263228639960289,0.34542652033269405,0.31395113468170166,0.031475385650992393,0.9230437055230141,0.9388557523488998,-0.015812046825885773
primary,93008,0,transition_mid,0.41847700998187065,0.3233779389411211,0.09509907104074955,0.5493444539606571,0.4303654935210943,0.1189789604395628,20.353023767471313,21.67504501342773,-1.3220212459564173,0.7254341393709183,0.6320326142013073,0.09340152516961098,0.2539861313998699,0.33563073724508286,-0.08164460584521294,1.001524232327938,0.973339632153511,0.028184600174427032
primary,93008,0,sparse_drive,0.37563997507095337,0.35369194112718105,0.021948033943772316,0.5029144212603569,0.48512367717921734,0.017790744081139565,21.673336505889893,20.391842365264893,1.281494140625,0.6938125267624855,0.6609776355326176,0.032834891229867935,0.2878650613129139,0.2864885739982128,0.0013764873147010803,0.9622875526547432,0.9225371479988098,0.03975040465593338
primary,93009,0,transition_mid,0.4218621104955673,0.25007780082523823,0.1717843096703291,0.5708753280341625,0.3436929229646921,0.2271824050694704,20.319332599639893,21.73119735717773,-1.4118647575378382,0.740348108112812,0.5319842770695686,0.2083638310432434,0.24033484794199464,0.3626878038048744,-0.12235295586287978,0.9454182833433151,0.9199249744415283,0.025493308901786804
primary,93009,0,sparse_drive,0.3510441929101944,0.4243715703487396,-0.07332737743854523,0.48384249210357666,0.5776877589523792,-0.09384526684880257,21.66112899780273,20.291744709014893,1.3693842887878382,0.6759045980870724,0.7588525041937828,-0.08294790610671043,0.2998657338321209,0.2461925577372312,0.053673176094889696,0.9166984930634499,0.9413586258888245,-0.024660132825374603
primary,93010,0,transition_mid,0.3540742676705122,0.2598872650414705,0.09418700262904167,0.48753948509693146,0.36109081469476223,0.12644867040216923,20.379147052764893,21.76293563842773,-1.3837885856628382,0.6622515991330147,0.5527626723051071,0.10948892682790756,0.2841192036867142,0.35952029190957546,-0.07540108822286129,0.9191752821207047,0.9087058901786804,0.010469391942024231
primary,93010,0,sparse_drive,0.3612677715718746,0.3668988607823849,-0.005631089210510254,0.4886867143213749,0.5029562991112471,-0.01426958478987217,21.72533798217773,20.400142908096313,1.3251950740814173,0.6855739243328571,0.6712671034038067,0.014306820929050446,0.297041654586792,0.27229299023747444,0.02474866434931755,0.9472386315464973,0.9226720407605171,0.024566590785980225
