grouping,group,baseline,n_tasks,mean_delta,bootstrap95_low,bootstrap95_high,median_delta,positive_fraction,wilcoxon_greater_p,wilcoxon_two_sided_p,wilcoxon_greater_fdr_bh
evidence_stratum,scale_free_N256_replication_atlas,random,108,0.2377494066171898,0.21394819625894781,0.26216604064877713,0.24178517932887192,0.9814814814814815,1.0745248743228092e-19,2.1490497486456183e-19,6.447149245936855e-19
evidence_stratum,ER_N256_repair,spectral,27,0.02592148259282112,-0.005926824967307912,0.055469480737250415,0.0473230741918087,0.7037037037037037,0.02455095201730728,0.04910190403461456,0.02455095201730728
evidence_stratum,ER_N256_repair,feedback_hub,27,0.05433337957839722,0.03132241200914398,0.07787535855399996,0.046696186065673884,0.8148148148148148,3.1657516956329346e-05,6.331503391265869e-05,6.331503391265869e-05
evidence_stratum,ER_N256_repair,high_degree,27,0.05843341226379078,0.03161692725735958,0.08491157794336752,0.05889123305678359,0.8518518518518519,0.00015044957399368286,0.0003008991479873657,0.00018053948879241942
evidence_stratum,ER_N256_repair,module_bridge,27,0.05792623271958696,0.030424294053335445,0.08396060522559481,0.0555688897147774,0.8518518518518519,0.00015044957399368286,0.0003008991479873657,0.00018053948879241942
evidence_stratum,ER_N256_repair,cycle_proxy,27,0.06676329979328094,0.04501855037933973,0.08935523684722958,0.06250736862421041,0.8888888888888888,1.5422701835632324e-06,3.084540367126465e-06,4.626810550689697e-06
evidence_stratum,ER_N256_repair,random,27,0.08748142661082696,0.06324098060628143,0.11199133784555468,0.06491138003184466,0.9629629629629629,1.4901161193847656e-08,2.9802322387695312e-08,8.940696716308594e-08
evidence_stratum,modular_N256,spectral,27,0.12888243063180538,0.08011492901240236,0.17617647507469408,0.13961411267519,0.9259259259259259,9.395182132720947e-06,1.8790364265441895e-05,1.1274218559265137e-05
evidence_stratum,modular_N256,feedback_hub,27,0.12273271450841869,0.08511708345678116,0.16168429553853692,0.12146589905023569,0.8518518518518519,3.330409526824951e-06,6.660819053649902e-06,4.995614290237427e-06
evidence_stratum,modular_N256,high_degree,27,0.12005463946196769,0.07998396179259377,0.16222740255848128,0.1242452636361122,0.8888888888888888,3.330409526824951e-06,6.660819053649902e-06,4.995614290237427e-06
evidence_stratum,modular_N256,module_bridge,27,0.11259402996963927,0.06480547771961602,0.15867888485253964,0.1184377148747445,0.8518518518518519,9.217113256454468e-05,0.00018434226512908936,9.217113256454468e-05
evidence_stratum,modular_N256,cycle_proxy,27,0.14952743908873312,0.1116653958870167,0.18784906595979853,0.16863070428371432,0.9629629629629629,3.725290298461914e-08,7.450580596923828e-08,1.1175870895385742e-07
evidence_stratum,modular_N256,random,27,0.13952908055270435,0.1107469073592155,0.1696293345861098,0.14125491701997817,0.9629629629629629,1.4901161193847656e-08,2.9802322387695312e-08,8.940696716308594e-08
evidence_stratum,small_world_N256,spectral,27,0.15964410950740182,0.11959596541882665,0.20092917362021073,0.1417447626590729,0.9259259259259259,1.043081283569336e-07,2.086162567138672e-07,1.043081283569336e-07
evidence_stratum,small_world_N256,feedback_hub,27,0.17223227382810027,0.13463979072316928,0.21120550994657805,0.1317340433597565,1.0,7.450580596923828e-09,1.4901161193847656e-08,8.940696716308593e-09
evidence_stratum,small_world_N256,high_degree,27,0.18060592396391761,0.14390947591789344,0.2178356574365386,0.1750425100326539,1.0,7.450580596923828e-09,1.4901161193847656e-08,8.940696716308593e-09
evidence_stratum,small_world_N256,module_bridge,27,0.17494663789316459,0.13593860025069227,0.21358649336077548,0.1403872668743134,1.0,7.450580596923828e-09,1.4901161193847656e-08,8.940696716308593e-09
evidence_stratum,small_world_N256,cycle_proxy,27,0.18962509336846847,0.1546865529070298,0.22595215628475504,0.1701558232307435,1.0,7.450580596923828e-09,1.4901161193847656e-08,8.940696716308593e-09
evidence_stratum,small_world_N256,random,27,0.18032802023097044,0.14890011970042166,0.2127396845171461,0.19815213256515568,1.0,7.450580596923828e-09,1.4901161193847656e-08,8.940696716308593e-09
evidence_stratum,scale_free_scaling_N128_N512,spectral,36,0.1472152974456549,0.10941709196195008,0.1862930574816548,0.1254836283624172,0.9444444444444444,1.6007106751203537e-09,3.2014213502407074e-09,4.802132025361061e-09
evidence_stratum,scale_free_scaling_N128_N512,feedback_hub,36,0.132689803166108,0.09220290824046565,0.17586735395145497,0.0975119424983859,0.8611111111111112,2.158049028366804e-08,4.316098056733608e-08,4.316098056733608e-08
evidence_stratum,scale_free_scaling_N128_N512,high_degree,36,0.1341142574221724,0.09253413978601908,0.17765767294137427,0.0975119424983859,0.8333333333333334,6.271875463426113e-08,1.2543750926852226e-07,7.526250556111336e-08
evidence_stratum,scale_free_scaling_N128_N512,module_bridge,36,0.1341142574221724,0.09243169017524148,0.1764650032001858,0.0975119424983859,0.8333333333333334,6.271875463426113e-08,1.2543750926852226e-07,7.526250556111336e-08
evidence_stratum,scale_free_scaling_N128_N512,cycle_proxy,36,0.118510443975942,0.07326250006315402,0.16432797449201136,0.09261499345302579,0.8333333333333334,3.3283577067777514e-06,6.656715413555503e-06,3.3283577067777514e-06
evidence_stratum,scale_free_scaling_N128_N512,random,36,0.2148807338679843,0.17081665850605027,0.25979685497329935,0.20076776148926,0.9444444444444444,7.275957614183426e-11,1.4551915228366852e-10,4.3655745685100555e-10
