cre_type,C_primary_shared
sst,1.114443992139268
unknown,1.3201889354876453
pvalb,0.7303243042614832
sst,1.4237370789616164
sst,1.2072646002677103
sst,1.0366214921065635
sst,1.352368538247284
sst,1.0005388550655654
sst,1.2761785868335964
sst,1.2082618180657925
sst,1.1964373969298707
sst,1.1190518934722455
sst,1.195299553473134
sst,1.4429356612346207
sst,0.7490468491744096
nr5a1,1.23615057640156
nr5a1,1.2381193373136348
sst,0.9659810371868832
nr5a1,1.3098005286182692
nr5a1,1.279435396429418
nr5a1,1.258490724284228
nr5a1,1.3204174798640276
nr5a1,1.3312706884987584
nr5a1,1.3147554845173854
tlx3,1.4714526710517235
tlx3,1.5452768658801208
tlx3,1.5444916571740022
vip,1.4402273257785374
tlx3,1.4885233125878004
sst,1.146317985122078
nr5a1,1.3426687187557504
sst,1.1761286366410466
nr5a1,1.4088355198348532
sst,1.4335923224067135
sst,1.2846956826794536
pvalb,0.6567970714226318
tlx3,1.3430717115322752
tlx3,1.4015417229298666
tlx3,1.4060513354930686
tlx3,1.3599226948669565
tlx3,1.3651838429405234
tlx3,1.2509174011641768
tlx3,1.361558717165148
tlx3,1.4306490825830247
tlx3,1.422045962430833
tlx3,1.514150261570052
tlx3,1.4982163457181878
unknown,1.3044846484045909
vip,1.5315625390217742
sst,1.2399996339420023
sst,1.3823863986877782
vip,0.8352489178852465
sst,1.4706669627226308
sst,1.17690010755744
unknown,1.2472852798474214
vip,1.4454568617087438
sst,1.2870332597413134
sst,1.6062665248222356
sst,1.3366625154867722
vip,1.722337511969863
sst,1.0675453729102973
vip,1.387434208629103
vip,1.1736581531568242
sst,1.1383387619673992
unknown,1.4552443478601178
nr5a1,1.2495069867196624
nr5a1,1.279907092608916
sst,1.055020520690027
sst,1.163678462532104
sst,1.3493059709392523
sst,1.3749799434302403
pvalb,0.6204662542321371
sst,1.1771568922416993
sst,1.2819371709417935
unknown,1.3865181164358755
sst,1.0278864705308792
sst,1.1542164231840486
vip,1.0926579121084767
pvalb,0.5619706995110947
unknown,0.9660526410273312
pvalb,0.8204816991856339
sst,1.1007576395973886
unknown,0.7054518400727994
unknown,1.5065703945033548
sst,1.3818855033085895
unknown,1.3784532838752952
sst,1.4645228736201743
sst,1.2312849654209703
unknown,1.38824534415102
tlx3,1.3405387814146013
tlx3,1.2867557785763026
pvalb,1.5149520238764014
unknown,1.4466339800038028
pvalb,0.8843314519617844
unknown,1.3647397259723046
sst,1.322755118586428
unknown,1.2361022395795958
unknown,0.9210997490708988
vip,1.2248509929928402
tlx3,1.2879239017661437
unknown,1.3919629881522864
pvalb,0.8199825126833256
ntsr1,1.240783858720211
unknown,1.2098728507042589
pvalb,1.618769706669115
ntsr1,1.4271462724326265
pvalb,0.6739372312600562
ntsr1,1.4049711725920253
ntsr1,1.442851424363843
pvalb,0.9061256968600976
unknown,1.2626067177667295
ntsr1,1.3804444985824145
ntsr1,1.3298537227816132
unknown,1.2408932515629254
pvalb,0.7390081721148325
pvalb,0.788213286921086
pvalb,0.7337612807600036
pvalb,0.8537670922006799
sst,1.1425944963932126
tlx3,1.3377269365740152
sst,1.117117036866469
sst,1.1589415940431234
unknown,1.2317705516128896
unknown,1.45417169841668
vip,1.604999003873096
ntsr1,1.7089906919314253
vip,1.333722913327913
unknown,1.426762801395178
ntsr1,1.3210826456431128
unknown,1.5795196642897895
vip,1.3484734753015586
nr5a1,1.2508164279188076
unknown,1.437760549392228
sst,1.222333032003583
vip,1.3557227830841474
ntsr1,1.185890190146789
ntsr1,1.13032284981512
unknown,1.2681780028679783
unknown,1.2266054809966125
unknown,1.441849275278717
unknown,1.38199507199239
sst,1.1601227615616
pvalb,0.447396449048812
pvalb,0.8029258874518083
pvalb,0.797805494928215
unknown,1.545377515635202
unknown,1.4765776766681835
unknown,1.3073765102671324
pvalb,0.8536247075717411
tlx3,1.314139738347976
tlx3,1.5694791907695866
tlx3,1.3592396144916947
unknown,0.7657154192109974
pvalb,0.4758753300975457
tlx3,1.3385043073245466
tlx3,1.405708383351195
pvalb,0.4744937427387123
tlx3,1.3978537999151834
sst,1.1817196673095556
unknown,1.506652282353424
unknown,0.9200956878103989
unknown,1.3715382404798326
sst,0.938755964833946
pvalb,0.3741518051758796
ntsr1,1.5249892438066908
ntsr1,1.3258677994049164
ntsr1,1.075654986320234
sst,1.3356770654096786
sst,0.8036685859850596
sst,1.2152165126207886
sst,1.5615151348999483
sst,1.353059523599923
unknown,1.2278986160351937
sst,1.104989036643051
sst,0.913994469267744
sst,1.4031029190578916
sst,1.1647875018423206
sst,1.3840775439895574
ntsr1,1.0667114412808278
ntsr1,1.316033004373353
ntsr1,1.2778727081350725
ntsr1,1.2127427348111564
unknown,1.1769480973186337
sst,0.9897803974059514
sst,1.428348109099987
sst,1.0264798549109746
sst,1.112973909573187
unknown,1.237538767472087
unknown,1.188907559365697
unknown,0.9693748421583428
pvalb,1.0668859522923884
sst,1.5423551491166472
sst,1.2817748072916588
sst,1.0118685144186756
sst,1.359363022834612
sst,0.9515930123490454
sst,0.8413236017369431
sst,1.2446821900723468
sst,1.1476331586386102
unknown,1.2982189195947746
sst,1.080711876078009
sst,1.1380281397741807
sst,1.1738133523826466
sst,1.1217256217369895
ntsr1,1.2586818834940416
sst,1.3141740187371416
sst,1.4369637153537942
sst,1.3104393947144548
pvalb,1.0227443184986205
unknown,1.2077410881305994
sst,0.8116944524562518
sst,0.970271833645103
pvalb,0.5306816771223868
ntsr1,1.1945340285723884
sst,0.8813053460709546
sst,0.7581402844573458
ntsr1,1.181941168364801
pvalb,0.9423032389661574
ntsr1,1.212393280861317
ntsr1,1.1393709535382857
unknown,1.2811861725115792
pvalb,0.8174725355219639
unknown,1.4114068525822572
pvalb,0.4821226496717018
ntsr1,1.4681014074700407
pvalb,0.5575663385608515
sst,1.3276742437864832
sst,0.8750934395545928
pvalb,0.5052792161395984
pvalb,0.5734206724839945
pvalb,0.6085798441147238
ntsr1,1.627222981957123
pvalb,0.8014500795865851
unknown,1.3959293484227746
ntsr1,1.2352135502737154
ntsr1,1.3706557984930792
tlx3,1.475380314297588
pvalb,0.637295442144788
tlx3,1.33857897752064
pvalb,0.8032599141462893
vip,1.6012678624436103
pvalb,0.370176438528945
pvalb,1.1308535064537542
sst,1.722672480454334
sim1,1.3838437650182234
sst,1.4960147901642504
sim1,1.3422621744011456
sst,1.4533713649168865
sim1,1.4733550328517564
vip,1.3200787262449312
vip,1.39552201639117
pvalb,0.9188467216829026
pvalb,0.8284170893775538
vip,1.2036525728398533
vip,1.3627298223256803
unknown,1.352782844210776
unknown,1.4218963834222935
vip,1.4047091026264444
ntsr1,1.4509901989278116
ntsr1,1.5269491155805135
ntsr1,1.3839386865311307
vip,1.200308695239236
vip,1.3012170179745692
vip,1.3826014648888745
vip,1.665760370506504
unknown,0.9297887505283462
pvalb,0.8761547710473683
pvalb,0.8179224613003768
unknown,1.6429937796720282
sst,1.276227847340963
sst,1.3381935423563496
tlx3,1.7022511434583818
sst,1.0424061209575872
tlx3,1.4422507150494976
tlx3,1.2769180512498537
unknown,1.4971781587715456
unknown,1.361429296183256
vip,1.5985131285549912
sst,1.1706520646022287
sst,1.149049862360508
sst,1.19324888676925
pvalb,1.0036259411079227
tlx3,1.4792284867715324
tlx3,1.5261439560750918
tlx3,1.3593483548539678
tlx3,1.3669953131654615
vip,1.4582704778379427
vip,1.5244990727755052
pvalb,0.607104972380007
ntsr1,1.4429194663478642
tlx3,1.3215273292831018
pvalb,0.4576163890720388
pvalb,0.7957097457023627
sst,1.109573150290064
ntsr1,1.3380270226570552
sst,1.4186072756626331
sst,1.1318393557089887
unknown,1.5269392809437057
tlx3,1.5502679021793246
vip,1.3644809320576925
sst,1.1892422812234804
tlx3,1.2847160887311844
tlx3,1.3243980771157111
sst,1.0530861108865652
tlx3,1.2929090332529762
tlx3,1.318032283411941
tlx3,1.2493300501584752
unknown,1.1217678054774092
pvalb,0.6836555577505403
unknown,1.5633146438092511
unknown,1.3234732759043413
unknown,1.236016857826309
unknown,1.1689933835598338
sst,1.3354727674790012
unknown,1.433410759842015
unknown,1.4319216923265232
ntsr1,1.4144938859562377
ntsr1,1.2964395867859688
sst,1.161698765288257
sst,1.1854067199511926
sst,1.23824757211263
sst,1.3083277185697932
ntsr1,1.1801226276723755
unknown,0.8128781885701959
unknown,1.2170516467525887
unknown,1.4795323839751324
unknown,1.241789188795752
unknown,0.9405981391856706
sst,1.1073661465157032
sst,1.49350049690859
unknown,1.3645113046750044
sst,0.9324852713650942
unknown,1.254612494436877
unknown,0.734291504887423
unknown,1.2270510616488657
unknown,1.189310812001438
unknown,1.3633418609410508
