graph_seed,state,repeat_1,repeat_2,jaccard
93001,transition_mid,4,9,0.4883720930232558
93001,transition_mid,4,10,0.4883720930232558
93001,transition_mid,4,11,0.6
93001,transition_mid,4,12,0.6
93001,transition_mid,4,13,0.3617021276595745
93001,transition_mid,4,14,0.5238095238095238
93001,transition_mid,4,15,0.45454545454545453
93001,transition_mid,4,16,0.4222222222222222
93001,transition_mid,4,17,0.4222222222222222
93001,transition_mid,4,18,0.6410256410256411
93001,transition_mid,4,19,0.5238095238095238
93001,transition_mid,5,6,0.45454545454545453
93001,transition_mid,5,7,0.5609756097560976
93001,transition_mid,5,8,0.5238095238095238
93001,transition_mid,5,9,0.4883720930232558
93001,transition_mid,5,10,0.5609756097560976
93001,transition_mid,5,11,0.5238095238095238
93001,transition_mid,5,12,0.5609756097560976
93001,transition_mid,5,13,0.3333333333333333
93001,transition_mid,5,14,0.5609756097560976
93001,transition_mid,5,15,0.5238095238095238
93001,transition_mid,5,16,0.45454545454545453
93001,transition_mid,5,17,0.4883720930232558
93001,transition_mid,5,18,0.6
93001,transition_mid,5,19,0.5609756097560976
93001,transition_mid,6,7,0.391304347826087
93001,transition_mid,6,8,0.391304347826087
93001,transition_mid,6,9,0.391304347826087
93001,transition_mid,6,10,0.4222222222222222
93001,transition_mid,6,11,0.4883720930232558
93001,transition_mid,6,12,0.45454545454545453
93001,transition_mid,6,13,0.391304347826087
93001,transition_mid,6,14,0.45454545454545453
93001,transition_mid,6,15,0.6
93001,transition_mid,6,16,0.4222222222222222
93001,transition_mid,6,17,0.4883720930232558
93001,transition_mid,6,18,0.4883720930232558
93001,transition_mid,6,19,0.4222222222222222
93001,transition_mid,7,8,0.5238095238095238
93001,transition_mid,7,9,0.45454545454545453
93001,transition_mid,7,10,0.5238095238095238
93001,transition_mid,7,11,0.5238095238095238
93001,transition_mid,7,12,0.5238095238095238
93001,transition_mid,7,13,0.3617021276595745
93001,transition_mid,7,14,0.5238095238095238
93001,transition_mid,7,15,0.4222222222222222
93001,transition_mid,7,16,0.3617021276595745
93001,transition_mid,7,17,0.45454545454545453
93001,transition_mid,7,18,0.5609756097560976
93001,transition_mid,7,19,0.4883720930232558
93001,transition_mid,8,9,0.4883720930232558
93001,transition_mid,8,10,0.4883720930232558
93001,transition_mid,8,11,0.5609756097560976
93001,transition_mid,8,12,0.6
93001,transition_mid,8,13,0.3617021276595745
93001,transition_mid,8,14,0.4883720930232558
93001,transition_mid,8,15,0.5609756097560976
93001,transition_mid,8,16,0.4222222222222222
93001,transition_mid,8,17,0.4222222222222222
93001,transition_mid,8,18,0.6410256410256411
93001,transition_mid,8,19,0.5609756097560976
93001,transition_mid,9,10,0.45454545454545453
93001,transition_mid,9,11,0.5238095238095238
93001,transition_mid,9,12,0.6410256410256411
93001,transition_mid,9,13,0.3617021276595745
93001,transition_mid,9,14,0.45454545454545453
93001,transition_mid,9,15,0.4222222222222222
93001,transition_mid,9,16,0.45454545454545453
93001,transition_mid,9,17,0.391304347826087
93001,transition_mid,9,18,0.5609756097560976
93001,transition_mid,9,19,0.4222222222222222
93001,transition_mid,10,11,0.5609756097560976
93001,transition_mid,10,12,0.5609756097560976
93001,transition_mid,10,13,0.3617021276595745
93001,transition_mid,10,14,0.5609756097560976
93001,transition_mid,10,15,0.45454545454545453
93001,transition_mid,10,16,0.3617021276595745
93001,transition_mid,10,17,0.4222222222222222
93001,transition_mid,10,18,0.5609756097560976
93001,transition_mid,10,19,0.4883720930232558
93001,transition_mid,11,12,0.6410256410256411
93001,transition_mid,11,13,0.4222222222222222
93001,transition_mid,11,14,0.5238095238095238
93001,transition_mid,11,15,0.5238095238095238
93001,transition_mid,11,16,0.4222222222222222
93001,transition_mid,11,17,0.45454545454545453
93001,transition_mid,11,18,0.6
93001,transition_mid,11,19,0.5238095238095238
93001,transition_mid,12,13,0.4222222222222222
93001,transition_mid,12,14,0.5609756097560976
93001,transition_mid,12,15,0.4883720930232558
93001,transition_mid,12,16,0.4222222222222222
93001,transition_mid,12,17,0.4222222222222222
93001,transition_mid,12,18,0.6410256410256411
93001,transition_mid,12,19,0.5238095238095238
93001,transition_mid,13,14,0.3617021276595745
93001,transition_mid,13,15,0.45454545454545453
93001,transition_mid,13,16,0.3617021276595745
93001,transition_mid,13,17,0.391304347826087
93001,transition_mid,13,18,0.391304347826087
93001,transition_mid,13,19,0.391304347826087
93001,transition_mid,14,15,0.45454545454545453
93001,transition_mid,14,16,0.3617021276595745
93001,transition_mid,14,17,0.45454545454545453
93001,transition_mid,14,18,0.5238095238095238
93001,transition_mid,14,19,0.5238095238095238
93001,transition_mid,15,16,0.6
93001,transition_mid,15,17,0.6410256410256411
93001,transition_mid,15,18,0.4883720930232558
93001,transition_mid,15,19,0.5238095238095238
93001,transition_mid,16,17,0.45454545454545453
93001,transition_mid,16,18,0.391304347826087
93001,transition_mid,16,19,0.4222222222222222
93001,transition_mid,17,18,0.4222222222222222
93001,transition_mid,17,19,0.391304347826087
93001,transition_mid,18,19,0.5609756097560976
93002,sparse_drive,0,1,0.4883720930232558
93002,sparse_drive,0,2,0.6842105263157895
93002,sparse_drive,0,3,0.6
93002,sparse_drive,0,4,0.6842105263157895
93002,sparse_drive,0,5,0.5609756097560976
93002,sparse_drive,0,6,0.6
93002,sparse_drive,0,7,0.5238095238095238
93002,sparse_drive,0,8,0.5609756097560976
93002,sparse_drive,0,9,0.5609756097560976
93002,sparse_drive,0,10,0.5609756097560976
93002,sparse_drive,0,11,0.6
93002,sparse_drive,0,12,0.5609756097560976
93002,sparse_drive,0,13,0.5238095238095238
