placement,complexity_fraction,mean,std,n,median,sem,ci95,source_fraction_column,semantic_fraction_name
module_bridge,0.015625,0.6882333189564169,0.3564744508829863,72,0.864244870085742,0.04201091692318508,0.08234139716944275,hh_fraction_actual,high-complexity fraction
module_bridge,0.03125,0.5667309254146589,0.2910879737319606,72,0.5943767757041782,0.03430504669128683,0.0672378915149222,hh_fraction_actual,high-complexity fraction
module_bridge,0.0625,0.3748629538265406,0.25886814225669613,120,0.28818459613488256,0.023631320155574793,0.046317387504926595,hh_fraction_actual,high-complexity fraction
module_bridge,0.09375,0.31072548432709773,0.13741381345938386,48,0.2761163284945213,0.019833975547787073,0.03887459207366266,hh_fraction_actual,high-complexity fraction
module_bridge,0.125,0.4593040864913265,0.30536933004600864,120,0.3855058624708738,0.02787627840607317,0.05463750567590341,hh_fraction_actual,high-complexity fraction
module_bridge,0.15625,0.5591267484778116,0.1861787770998516,48,0.554754509542992,0.026872591768998665,0.05267027986723738,hh_fraction_actual,high-complexity fraction
module_bridge,0.1875,0.7414992187423265,0.16047503814345757,48,0.7429316030653921,0.023162576617585175,0.045398650170466945,hh_fraction_actual,high-complexity fraction
module_bridge,0.25,0.9918256169195891,0.0354456852830885,48,0.9999999972711253,0.005116143984950476,0.010027642210502933,hh_fraction_actual,high-complexity fraction
none,0.0,0.9999999606312746,2.0249839289519777e-08,72,0.9999999636359409,2.386466446592869e-09,4.677474235322023e-09,hh_fraction_actual,high-complexity fraction
random,0.00390625,0.6123609929007545,0.26332717419079027,72,0.5943770599557427,0.031033405090166506,0.06082547397672635,hh_fraction_actual,high-complexity fraction
random,0.0078125,0.7314483814717158,0.23332524594675053,72,0.7551540869132982,0.02749764393849439,0.053895382119449,hh_fraction_actual,high-complexity fraction
random,0.015625,0.7827592226173005,0.21457623295821238,72,0.83962369145329,0.025288051567702724,0.04956458107269734,hh_fraction_actual,high-complexity fraction
random,0.03125,0.7064390817566549,0.2519628020968513,72,0.7208508178034841,0.029694100994907935,0.05820043795001955,hh_fraction_actual,high-complexity fraction
random,0.0625,0.3899497833832612,0.2625069931793877,120,0.3062227871108819,0.02396350027786757,0.046968460544620436,hh_fraction_actual,high-complexity fraction
random,0.09375,0.27599505257101303,0.12784765460842154,48,0.23725267530093225,0.01845321945085862,0.0361683101236829,hh_fraction_actual,high-complexity fraction
random,0.125,0.3317976274926061,0.20711073655572018,120,0.2855205382047149,0.018906537052179626,0.03705681262227207,hh_fraction_actual,high-complexity fraction
random,0.15625,0.5036079879816303,0.17959488697269882,48,0.502628567931372,0.025922289084692022,0.05080768660599636,hh_fraction_actual,high-complexity fraction
random,0.1875,0.6732168790108867,0.18627160614883556,48,0.6688822992410277,0.026885990488103542,0.05269654135668294,hh_fraction_actual,high-complexity fraction
random,0.25,0.9925752715641476,0.029761421494656586,48,0.9999999966828568,0.004295691177851474,0.008419554708588888,hh_fraction_actual,high-complexity fraction
