placement,complexity_fraction,mean,std,n,median,sem,ci95
gpu_surrogate,0.15625,0.30174642906741117,0.1497869915225904,24,0.28423490413179153,0.03057514161141134,0.05992727755836622
gpu_surrogate,0.1875,0.34127783762547453,0.15979441318770746,24,0.345448426758097,0.03261789800477887,0.06393108008936658
gpu_surrogate,0.25,0.36455156952102796,0.1453035875716641,24,0.41149972451320965,0.029659970612199042,0.05813354239991012
gpu_surrogate,0.375,0.3982345691911567,0.1389266939474043,24,0.4156631928153729,0.02835829265191206,0.055582253597747634
gpu_surrogate,0.5,0.43037694015434164,0.1493779885856572,24,0.39359733204315855,0.0304916542365125,0.0597636423035645
gpu_surrogate,0.75,0.483667238005185,0.15338320080217477,24,0.4520956597433319,0.031309214756681636,0.061366060923096
high_degree,0.00390625,0.04554738808091791,0.02984575521386921,24,0.03731157264864815,0.006092239271832516,0.011940788972791732
high_degree,0.0078125,0.04265466967712469,0.036185994657637256,24,0.0211595046983208,0.007386435228857445,0.014477413048560593
high_degree,0.015625,0.02133170643964644,0.01391810941014899,24,0.0149493845493224,0.0028410221865911656,0.0055684034857186844
high_degree,0.03125,0.03516755261679995,0.020615856193647312,24,0.031770805600284446,0.004208194023752679,0.00824806028655525
high_degree,0.0625,0.11532318762348646,0.06278394309104318,24,0.11866629790247249,0.012815718717749423,0.025118808686788868
high_degree,0.09375,0.18369443120805073,0.0975954990233449,24,0.19650599129181726,0.019921597816624087,0.03904633172058321
high_degree,0.125,0.2515512572468793,0.14538606476740354,24,0.2668086037143465,0.029676806199280484,0.05816654015058975
high_degree,0.15625,0.29492758693972354,0.16162441806950384,24,0.30480087689255225,0.03299144618704582,0.0646632345266098
high_degree,0.1875,0.3343019881833258,0.19045329587622298,24,0.35896996949307985,0.038876116227338164,0.0761971878055828
high_degree,0.25,0.35301391041348146,0.17011340568090352,24,0.3740564480790429,0.034724253527107236,0.06805953691313019
high_degree,0.375,0.3678474150120194,0.15020165078498737,24,0.3850638498711091,0.030659783578910624,0.06009317581466482
high_degree,0.5,0.3908359847151255,0.1409101462426534,24,0.4040065694998946,0.028763163156288095,0.05637579978632466
high_degree,0.75,0.4812720515315369,0.17140144190204912,24,0.4832797046343704,0.03498717281977635,0.06857485872676164
module_bridge,0.00390625,0.04185937495667209,0.02185591788410258,24,0.03717226307255965,0.004461320556351725,0.00874418829044938
